section_id,book_id,source_id,parent_section_id,level,section_title,page_start,page_end,order_index,source_ref_id,source_specific_id,confidence,notes
mb_sec__jingui__sec_topic_ch_02_a30bfdc0a2d2_01_9bab655ba24b_002_73b0108e65dc,mb_jingui,multibook_v033,,symptoms,症狀,[12],,2,src_multibook_v033_0000357,jingui__sec_topic_ch_02_a30bfdc0a2d2_01_9bab655ba24b_002_73b0108e65dc,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_02_a30bfdc0a2d2_01_9bab655ba24b_003_d344105fcdca,mb_jingui,multibook_v033,,pulse,脈象,[12],,3,src_multibook_v033_0000358,jingui__sec_topic_ch_02_a30bfdc0a2d2_01_9bab655ba24b_003_d344105fcdca,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_02_a30bfdc0a2d2_01_9bab655ba24b_004_a56204b484d5,mb_jingui,multibook_v033,,treatment,治法,[12],,4,src_multibook_v033_0000359,jingui__sec_topic_ch_02_a30bfdc0a2d2_01_9bab655ba24b_004_a56204b484d5,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_02_a30bfdc0a2d2_01_9bab655ba24b_005_a16c00900830,mb_jingui,multibook_v033,,prognosis,預後,[12],,5,src_multibook_v033_0000360,jingui__sec_topic_ch_02_a30bfdc0a2d2_01_9bab655ba24b_005_a16c00900830,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_02_a30bfdc0a2d2_02_abbbd32807c7_001_0b52d90d0dec,mb_jingui,multibook_v033,,differentiation,辨證,[15],,1,src_multibook_v033_0000361,jingui__sec_topic_ch_02_a30bfdc0a2d2_02_abbbd32807c7_001_0b52d90d0dec,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_02_a30bfdc0a2d2_02_abbbd32807c7_002_b88057a4e6d8,mb_jingui,multibook_v033,,treatment,證治,[15],,2,src_multibook_v033_0000362,jingui__sec_topic_ch_02_a30bfdc0a2d2_02_abbbd32807c7_002_b88057a4e6d8,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_02_a30bfdc0a2d2_02_abbbd32807c7_003_1071aba0e25d,mb_jingui,multibook_v033,,contraindication,治療禁忌,[15],,3,src_multibook_v033_0000363,jingui__sec_topic_ch_02_a30bfdc0a2d2_02_abbbd32807c7_003_1071aba0e25d,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_02_a30bfdc0a2d2_03_4f7ad32af742_001_b88057a4e6d8,mb_jingui,multibook_v033,,treatment,證治,[19],,1,src_multibook_v033_0000364,jingui__sec_topic_ch_02_a30bfdc0a2d2_03_4f7ad32af742_001_b88057a4e6d8,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_02_a30bfdc0a2d2_03_4f7ad32af742_002_1071aba0e25d,mb_jingui,multibook_v033,,contraindication,治療禁忌,[19],,2,src_multibook_v033_0000365,jingui__sec_topic_ch_02_a30bfdc0a2d2_03_4f7ad32af742_002_1071aba0e25d,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_03_2780a9dc8dcc_01_d0ac23ca6d5f_001_30cd64e7ee83,mb_jingui,multibook_v033,,definition,由來,[20],,1,src_multibook_v033_0000366,jingui__sec_topic_ch_03_2780a9dc8dcc_01_d0ac23ca6d5f_001_30cd64e7ee83,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_03_2780a9dc8dcc_01_d0ac23ca6d5f_002_73b0108e65dc,mb_jingui,multibook_v033,,symptoms,症狀,[20],,2,src_multibook_v033_0000367,jingui__sec_topic_ch_03_2780a9dc8dcc_01_d0ac23ca6d5f_002_73b0108e65dc,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_03_2780a9dc8dcc_01_d0ac23ca6d5f_003_09a544da6858,mb_jingui,multibook_v033,,principle,治則,[20],,3,src_multibook_v033_0000368,jingui__sec_topic_ch_03_2780a9dc8dcc_01_d0ac23ca6d5f_003_09a544da6858,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_03_2780a9dc8dcc_01_d0ac23ca6d5f_004_b88057a4e6d8,mb_jingui,multibook_v033,,treatment,證治,[20],,4,src_multibook_v033_0000369,jingui__sec_topic_ch_03_2780a9dc8dcc_01_d0ac23ca6d5f_004_b88057a4e6d8,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_03_2780a9dc8dcc_01_d0ac23ca6d5f_005_1674a01bb801,mb_jingui,multibook_v033,,treatment,正證,[20],,5,src_multibook_v033_0000370,jingui__sec_topic_ch_03_2780a9dc8dcc_01_d0ac23ca6d5f_005_1674a01bb801,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_03_2780a9dc8dcc_01_d0ac23ca6d5f_006_717096feeb25,mb_jingui,multibook_v033,,mistreatment,誤治,[20],,6,src_multibook_v033_0000371,jingui__sec_topic_ch_03_2780a9dc8dcc_01_d0ac23ca6d5f_006_717096feeb25,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_03_2780a9dc8dcc_01_d0ac23ca6d5f_007_55c6c34044b2,mb_jingui,multibook_v033,,transformed_pattern,變證,[20],,7,src_multibook_v033_0000372,jingui__sec_topic_ch_03_2780a9dc8dcc_01_d0ac23ca6d5f_007_55c6c34044b2,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_03_2780a9dc8dcc_01_d0ac23ca6d5f_008_a16c00900830,mb_jingui,multibook_v033,,prognosis,預後,[20],,8,src_multibook_v033_0000373,jingui__sec_topic_ch_03_2780a9dc8dcc_01_d0ac23ca6d5f_008_a16c00900830,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_03_2780a9dc8dcc_02_924fca9c2486_001_198feeb3d561,mb_jingui,multibook_v033,,symptoms,主症,[24],,1,src_multibook_v033_0000374,jingui__sec_topic_ch_03_2780a9dc8dcc_02_924fca9c2486_001_198feeb3d561,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_03_2780a9dc8dcc_02_924fca9c2486_002_b88057a4e6d8,mb_jingui,multibook_v033,,treatment,證治,[24],,2,src_multibook_v033_0000375,jingui__sec_topic_ch_03_2780a9dc8dcc_02_924fca9c2486_002_b88057a4e6d8,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_03_2780a9dc8dcc_03_9adfc0d7412e_001_b88057a4e6d8,mb_jingui,multibook_v033,,treatment,證治,[26],,1,src_multibook_v033_0000376,jingui__sec_topic_ch_03_2780a9dc8dcc_03_9adfc0d7412e_001_b88057a4e6d8,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_04_94ce5e76eb6c_01_b1846881cab4_001_b88057a4e6d8,mb_jingui,multibook_v033,,treatment,證治,[27],,1,src_multibook_v033_0000377,jingui__sec_topic_ch_04_94ce5e76eb6c_01_b1846881cab4_001_b88057a4e6d8,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_05_2a0f3653c4f0_01_9941cbe31ea5_001_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[30],,1,src_multibook_v033_0000378,jingui__sec_topic_ch_05_2a0f3653c4f0_01_9941cbe31ea5_001_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_05_2a0f3653c4f0_01_9941cbe31ea5_002_19a18ade16da,mb_jingui,multibook_v033,,etiology,病因病證,[30],,2,src_multibook_v033_0000379,jingui__sec_topic_ch_05_2a0f3653c4f0_01_9941cbe31ea5_002_19a18ade16da,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_05_2a0f3653c4f0_02_2cbb97f35429_001_7a1a3980bda1,mb_jingui,multibook_v033,,etiology,病因,[31],,1,src_multibook_v033_0000380,jingui__sec_topic_ch_05_2a0f3653c4f0_02_2cbb97f35429_001_7a1a3980bda1,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_05_2a0f3653c4f0_02_2cbb97f35429_002_b88057a4e6d8,mb_jingui,multibook_v033,,treatment,證治,[31],,2,src_multibook_v033_0000381,jingui__sec_topic_ch_05_2a0f3653c4f0_02_2cbb97f35429_002_b88057a4e6d8,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_05_2a0f3653c4f0_02_2cbb97f35429_003_7a1a3980bda1,mb_jingui,multibook_v033,,etiology,病因,[31],,3,src_multibook_v033_0000382,jingui__sec_topic_ch_05_2a0f3653c4f0_02_2cbb97f35429_003_7a1a3980bda1,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_06_046e88f22b9b_01_79594f9da605_001_7a1a3980bda1,mb_jingui,multibook_v033,,etiology,病因,[34],,1,src_multibook_v033_0000383,jingui__sec_topic_ch_06_046e88f22b9b_01_79594f9da605_001_7a1a3980bda1,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_06_046e88f22b9b_01_79594f9da605_002_b88057a4e6d8,mb_jingui,multibook_v033,,treatment,證治,[34],,2,src_multibook_v033_0000384,jingui__sec_topic_ch_06_046e88f22b9b_01_79594f9da605_002_b88057a4e6d8,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_06_046e88f22b9b_02_52f6f4ed8807_001_0f2ba8941447,mb_jingui,multibook_v033,,treatment,虛勞證治,[35],,1,src_multibook_v033_0000385,jingui__sec_topic_ch_06_046e88f22b9b_02_52f6f4ed8807_001_0f2ba8941447,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_07_4fbe28ace3eb_01_11ff50fca1d0_001_0b3d9b3e5ecd,mb_jingui,multibook_v033,,etiology,成因,[40],,1,src_multibook_v033_0000386,jingui__sec_topic_ch_07_4fbe28ace3eb_01_11ff50fca1d0_001_0b3d9b3e5ecd,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_07_4fbe28ace3eb_01_11ff50fca1d0_002_3fdbf976751a,mb_jingui,multibook_v033,,symptoms,證候,[40],,2,src_multibook_v033_0000387,jingui__sec_topic_ch_07_4fbe28ace3eb_01_11ff50fca1d0_002_3fdbf976751a,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_07_4fbe28ace3eb_01_11ff50fca1d0_003_b88057a4e6d8,mb_jingui,multibook_v033,,treatment,證治,[40],,3,src_multibook_v033_0000388,jingui__sec_topic_ch_07_4fbe28ace3eb_01_11ff50fca1d0_003_b88057a4e6d8,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_07_4fbe28ace3eb_02_792c9e08acd9_001_c05d78f53d0d,mb_jingui,multibook_v033,,mechanism,病機,[42],,1,src_multibook_v033_0000389,jingui__sec_topic_ch_07_4fbe28ace3eb_02_792c9e08acd9_001_c05d78f53d0d,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_07_4fbe28ace3eb_02_792c9e08acd9_002_73b0108e65dc,mb_jingui,multibook_v033,,symptoms,症狀,[42],,2,src_multibook_v033_0000390,jingui__sec_topic_ch_07_4fbe28ace3eb_02_792c9e08acd9_002_73b0108e65dc,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_07_4fbe28ace3eb_02_792c9e08acd9_003_b88057a4e6d8,mb_jingui,multibook_v033,,treatment,證治,[42],,3,src_multibook_v033_0000391,jingui__sec_topic_ch_07_4fbe28ace3eb_02_792c9e08acd9_003_b88057a4e6d8,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_07_4fbe28ace3eb_02_792c9e08acd9_004_a16c00900830,mb_jingui,multibook_v033,,prognosis,預後,[42],,4,src_multibook_v033_0000392,jingui__sec_topic_ch_07_4fbe28ace3eb_02_792c9e08acd9_004_a16c00900830,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_07_4fbe28ace3eb_03_8c74630d8284_001_b88057a4e6d8,mb_jingui,multibook_v033,,treatment,證治,[45],,1,src_multibook_v033_0000393,jingui__sec_topic_ch_07_4fbe28ace3eb_03_8c74630d8284_001_b88057a4e6d8,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_08_9148d6750557_01_8fc3f804de8d_001_0b3d9b3e5ecd,mb_jingui,multibook_v033,,etiology,成因,[50],,1,src_multibook_v033_0000394,jingui__sec_topic_ch_08_9148d6750557_01_8fc3f804de8d_001_0b3d9b3e5ecd,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_08_9148d6750557_01_8fc3f804de8d_002_b88057a4e6d8,mb_jingui,multibook_v033,,treatment,證治,[50],,2,src_multibook_v033_0000395,jingui__sec_topic_ch_08_9148d6750557_01_8fc3f804de8d_002_b88057a4e6d8,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_09_b33b19fe944b_01_f70fb1682fd1_001_0b3d9b3e5ecd,mb_jingui,multibook_v033,,etiology,成因,[53],,1,src_multibook_v033_0000396,jingui__sec_topic_ch_09_b33b19fe944b_01_f70fb1682fd1_001_0b3d9b3e5ecd,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_09_b33b19fe944b_01_f70fb1682fd1_002_b88057a4e6d8,mb_jingui,multibook_v033,,treatment,證治,[53],,2,src_multibook_v033_0000397,jingui__sec_topic_ch_09_b33b19fe944b_01_f70fb1682fd1_002_b88057a4e6d8,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_10_e3b4c2043b18_01_f3148f8c10ed_001_e7522d6f0ec7,mb_jingui,multibook_v033,,differentiation,辨證治則,[58],,1,src_multibook_v033_0000398,jingui__sec_topic_ch_10_e3b4c2043b18_01_f3148f8c10ed_001_e7522d6f0ec7,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_10_e3b4c2043b18_01_f3148f8c10ed_002_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[58],,2,src_multibook_v033_0000399,jingui__sec_topic_ch_10_e3b4c2043b18_01_f3148f8c10ed_002_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_10_e3b4c2043b18_01_f3148f8c10ed_003_e7522d6f0ec7,mb_jingui,multibook_v033,,differentiation,辨證治則,[58],,3,src_multibook_v033_0000400,jingui__sec_topic_ch_10_e3b4c2043b18_01_f3148f8c10ed_003_e7522d6f0ec7,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_10_e3b4c2043b18_01_f3148f8c10ed_004_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[58],,4,src_multibook_v033_0000401,jingui__sec_topic_ch_10_e3b4c2043b18_01_f3148f8c10ed_004_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_10_e3b4c2043b18_02_7a3c31afea5b_001_0b3d9b3e5ecd,mb_jingui,multibook_v033,,etiology,成因,[62],,1,src_multibook_v033_0000402,jingui__sec_topic_ch_10_e3b4c2043b18_02_7a3c31afea5b_001_0b3d9b3e5ecd,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_10_e3b4c2043b18_02_7a3c31afea5b_002_b88057a4e6d8,mb_jingui,multibook_v033,,treatment,證治,[62],,2,src_multibook_v033_0000403,jingui__sec_topic_ch_10_e3b4c2043b18_02_7a3c31afea5b_002_b88057a4e6d8,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_10_e3b4c2043b18_03_418206ab6278_001_b88057a4e6d8,mb_jingui,multibook_v033,,treatment,證治,[64],,1,src_multibook_v033_0000404,jingui__sec_topic_ch_10_e3b4c2043b18_03_418206ab6278_001_b88057a4e6d8,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_10_e3b4c2043b18_03_418206ab6278_002_d344105fcdca,mb_jingui,multibook_v033,,pulse,脈象,[64],,2,src_multibook_v033_0000405,jingui__sec_topic_ch_10_e3b4c2043b18_03_418206ab6278_002_d344105fcdca,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_11_d323e51b620e_01_71c2ebb0740c_001_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[65],,1,src_multibook_v033_0000406,jingui__sec_topic_ch_11_d323e51b620e_01_71c2ebb0740c_001_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_11_d323e51b620e_01_71c2ebb0740c_002_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[65],,2,src_multibook_v033_0000407,jingui__sec_topic_ch_11_d323e51b620e_01_71c2ebb0740c_002_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_12_e683f2d34c05_01_9622bec034f2_001_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[70],,1,src_multibook_v033_0000408,jingui__sec_topic_ch_12_e683f2d34c05_01_9622bec034f2_001_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_12_e683f2d34c05_01_9622bec034f2_002_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[70],,2,src_multibook_v033_0000409,jingui__sec_topic_ch_12_e683f2d34c05_01_9622bec034f2_002_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_12_e683f2d34c05_01_9622bec034f2_003_5d197d2874be,mb_jingui,multibook_v033,,classification,四飲,[70],,3,src_multibook_v033_0000410,jingui__sec_topic_ch_12_e683f2d34c05_01_9622bec034f2_003_5d197d2874be,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_12_e683f2d34c05_01_9622bec034f2_004_776484840f03,mb_jingui,multibook_v033,,classification,五臟水飲,[70],,4,src_multibook_v033_0000411,jingui__sec_topic_ch_12_e683f2d34c05_01_9622bec034f2_004_776484840f03,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_12_e683f2d34c05_01_9622bec034f2_005_faeb46184ef7,mb_jingui,multibook_v033,,pattern,留飲,[70],,5,src_multibook_v033_0000412,jingui__sec_topic_ch_12_e683f2d34c05_01_9622bec034f2_005_faeb46184ef7,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_12_e683f2d34c05_01_9622bec034f2_006_771d6642f850,mb_jingui,multibook_v033,,pattern,伏飲,[70],,6,src_multibook_v033_0000413,jingui__sec_topic_ch_12_e683f2d34c05_01_9622bec034f2_006_771d6642f850,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_12_e683f2d34c05_01_9622bec034f2_007_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,"[70, 71]",,7,src_multibook_v033_0000414,jingui__sec_topic_ch_12_e683f2d34c05_01_9622bec034f2_007_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_12_e683f2d34c05_01_9622bec034f2_008_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[71],,8,src_multibook_v033_0000415,jingui__sec_topic_ch_12_e683f2d34c05_01_9622bec034f2_008_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_12_e683f2d34c05_01_9622bec034f2_009_fa5e4ce4a67d,mb_jingui,multibook_v033,,treatment,隨證施治,"[71, 72]",,9,src_multibook_v033_0000416,jingui__sec_topic_ch_12_e683f2d34c05_01_9622bec034f2_009_fa5e4ce4a67d,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_13_16f420658d73_01_43423f103311_001_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[83],,1,src_multibook_v033_0000417,jingui__sec_topic_ch_13_16f420658d73_01_43423f103311_001_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_13_16f420658d73_01_43423f103311_002_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[83],,2,src_multibook_v033_0000418,jingui__sec_topic_ch_13_16f420658d73_01_43423f103311_002_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_13_16f420658d73_01_43423f103311_003_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[83],,3,src_multibook_v033_0000419,jingui__sec_topic_ch_13_16f420658d73_01_43423f103311_003_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_13_16f420658d73_02_ec6fae866a75_001_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[87],,1,src_multibook_v033_0000420,jingui__sec_topic_ch_13_16f420658d73_02_ec6fae866a75_001_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_14_da71b5ddae59_01_48a914197e1a_001_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[88],,1,src_multibook_v033_0000421,jingui__sec_topic_ch_14_da71b5ddae59_01_48a914197e1a_001_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_14_da71b5ddae59_01_48a914197e1a_002_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[88],,2,src_multibook_v033_0000422,jingui__sec_topic_ch_14_da71b5ddae59_01_48a914197e1a_002_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_14_da71b5ddae59_01_48a914197e1a_003_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[89],,3,src_multibook_v033_0000423,jingui__sec_topic_ch_14_da71b5ddae59_01_48a914197e1a_003_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_14_da71b5ddae59_01_48a914197e1a_004_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[89],,4,src_multibook_v033_0000424,jingui__sec_topic_ch_14_da71b5ddae59_01_48a914197e1a_004_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_14_da71b5ddae59_01_48a914197e1a_005_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[90],,5,src_multibook_v033_0000425,jingui__sec_topic_ch_14_da71b5ddae59_01_48a914197e1a_005_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_15_adf9d688af0f_01_d43d6422da41_001_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[98],,1,src_multibook_v033_0000426,jingui__sec_topic_ch_15_adf9d688af0f_01_d43d6422da41_001_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_15_adf9d688af0f_01_d43d6422da41_002_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[98],,2,src_multibook_v033_0000427,jingui__sec_topic_ch_15_adf9d688af0f_01_d43d6422da41_002_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_15_adf9d688af0f_01_d43d6422da41_003_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[98],,3,src_multibook_v033_0000428,jingui__sec_topic_ch_15_adf9d688af0f_01_d43d6422da41_003_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_15_adf9d688af0f_01_d43d6422da41_004_7a1a3980bda1,mb_jingui,multibook_v033,,etiology,病因,[98],,4,src_multibook_v033_0000429,jingui__sec_topic_ch_15_adf9d688af0f_01_d43d6422da41_004_7a1a3980bda1,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_15_adf9d688af0f_01_d43d6422da41_005_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[99],,5,src_multibook_v033_0000430,jingui__sec_topic_ch_15_adf9d688af0f_01_d43d6422da41_005_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_15_adf9d688af0f_01_d43d6422da41_006_7a1a3980bda1,mb_jingui,multibook_v033,,etiology,病因,[99],,6,src_multibook_v033_0000431,jingui__sec_topic_ch_15_adf9d688af0f_01_d43d6422da41_006_7a1a3980bda1,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_16_5e7de41d7ef9_01_2a07490cfe8f_001_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[105],,1,src_multibook_v033_0000432,jingui__sec_topic_ch_16_5e7de41d7ef9_01_2a07490cfe8f_001_4d69dbdf62ef,medium,multibook section seed
mb_sec__jingui__sec_topic_ch_16_5e7de41d7ef9_02_98e71713279b_001_4d69dbdf62ef,mb_jingui,multibook_v033,,source_text,原文,[106],,1,src_multibook_v033_0000433,jingui__sec_topic_ch_16_5e7de41d7ef9_02_98e71713279b_001_4d69dbdf62ef,medium,multibook section seed
