formula_id,canonical_name,formula_type_inferred,formula_family_id,alias_list,alias_count,component_count_display_ready,component_source_formula_count,unique_question_count,question_event_count,out_relation_count,in_relation_count,as_base_variant_count,as_variant_to_base_count,canonical_confidence,review_count,ontology_policy
can_749be479d4,栝蔞薤白半夏湯,standard_or_unspecified_formula,ffam_15406e082b38,栝萋薤白半夏湯|栝蔞薤白半夏湯|瓜蔞薤白半夏湯,3,0,0,40.0,41.0,19.0,11.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_cfb0d55b10,獨活寄生湯,standard_or_unspecified_formula,ffam_136c53cb3804,獨活寄生湯,1,15.0,0,40.0,40.0,40.0,30.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_6e63275c1f,四逆散,base_or_family_formula,ffam_33e479a3461a,四逆散,1,4.0,0,39.0,42.0,16.0,11.0,2,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_a247747e8d,烏頭湯,standard_or_unspecified_formula,ffam_2443ce65f3f5,烏頭湯,1,0,0,39.0,40.0,18.0,19.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_5becc09d33,麥門冬湯,standard_or_unspecified_formula,ffam_2dcadd1f1a7b,麥門冬湯,1,0,0,38.0,39.0,24.0,20.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_466b36a3f5,沙參麥冬湯,standard_or_unspecified_formula,ffam_4f31b9d0dec6,,0,7.0,0,38.0,38.0,27.0,22.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_c74df694b8,至寶丹,named_variant_or_modified_formula,ffam_1cda07e4e8d2,,0,11.0,0,37.0,42.0,45.0,4.0,0,1,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_810753c134,參苓白朮散,standard_or_unspecified_formula,ffam_e6521bc3f314,,0,10.0,0,36.0,36.0,29.0,23.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_bbaa8d330a,當歸芍藥散,standard_or_unspecified_formula,ffam_6b67baa5e9e1,當歸芍藥散|當歸芍藥散《散,2,0,0,35.0,39.0,11.0,5.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_73e0fe0d4a,實脾飲,standard_or_unspecified_formula,ffam_63bb9cd572f5,,0,12.0,0,35.0,35.0,33.0,26.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_8e09801183,酸棗仁湯,standard_or_unspecified_formula,ffam_4e34ed7cdbaa,酸棗仁湯|酸棗仁湯【傷寒|酸棗仁湯【金匱,3,0,0,34.0,35.0,25.0,14.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_14b2be885f,保和丸,named_variant_or_modified_formula,ffam_7063ea018212,,0,7.0,0,34.0,34.0,28.0,32.0,0,1,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_e81b1b309a,八正散,standard_or_unspecified_formula,ffam_00ef1da26df8,八正散,1,9.0,0,34.0,34.0,27.0,21.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_d8f57a6b89,大定風珠,standard_or_unspecified_formula,ffam_9d87d3729532,,0,0,0,34.0,34.0,17.0,13.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_bebc22dbfd,黃連溫膽湯,base_or_family_formula,ffam_bfdef1995e01,,0,0,0,34.0,34.0,13.0,13.0,1,0,high_or_seeded,1,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_65e2755719,抵當湯,standard_or_unspecified_formula,ffam_206b902590dd,抵當湯|抵當湯【傷寒|抵當湯【金匱,3,0,0,33.0,42.0,17.0,10.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_f51682eb9f,小半夏湯,base_or_family_formula,ffam_277b54ec6ad1,小半夏湯,1,0,0,33.0,36.0,11.0,13.0,2,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_763b6798dc,安神定志丸,standard_or_unspecified_formula,ffam_1ece5493211a,,0,0,0,33.0,33.0,6.0,18.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_818bcaeb53,桑杏湯,standard_or_unspecified_formula,ffam_d0cdea07328c,,0,7.0,0,33.0,33.0,33.0,14.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_a9a31fe009,桑菊飲,base_or_family_formula,ffam_546ec7d1bff6,桑菊飲,1,8.0,0,33.0,33.0,31.0,23.0,3,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_5bb3be4fd3,桔梗湯,base_or_family_formula,ffam_f1884a2c2b61,桔梗湯|桔梗湯【傷寒|桔梗湯【金匱,3,0,0,32.0,35.0,12.0,10.0,1,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_ce7e3e915d,一貫煎,standard_or_unspecified_formula,ffam_cf881f83b13f,,0,6.0,0,32.0,32.0,20.0,27.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_1a7f3fc09e,胃苓湯,standard_or_unspecified_formula,ffam_5140f9db0018,,0,11.0,0,32.0,33.0,29.0,25.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_8e5a5f8156,薏苡仁湯,standard_or_unspecified_formula,ffam_6fe5ede5d8b3,薏苡仁湯,1,11.0,0,32.0,32.0,28.0,23.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_925173ebcf,香砂六君子湯,standard_or_unspecified_formula,ffam_c3dc760308cb,香砂六君子湯,1,10.0,0,32.0,32.0,29.0,20.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_4702b3ae84,黃耆建中湯,named_variant_or_modified_formula,ffam_01badad2457a,黃耆建中湯|黃耆建中湯【傷寒|黃耆建中湯【金匱,3,7.0,0,31.0,33.0,29.0,21.0,0,1,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_8aef833bbc,涼膈散,standard_or_unspecified_formula,ffam_7a9ff22847d1,涼膈散,1,8.0,0,31.0,31.0,32.0,13.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_b0c5b38a32,清燥救肺湯,standard_or_unspecified_formula,ffam_aebb4a65c0d8,清燥救肺湯,1,9.0,0,31.0,31.0,42.0,22.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_4d24a89138,補陽還五湯,standard_or_unspecified_formula,ffam_e5b22ce523a9,補陽還五湯,1,7.0,0,31.0,31.0,20.0,25.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_bee70132d0,藿香正氣散,standard_or_unspecified_formula,ffam_65dd2dc3cb77,,0,13.0,0,30.0,30.0,33.0,25.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_812b5ec6e4,血府逐瘀湯,standard_or_unspecified_formula,ffam_a672bfc524cb,血府逐瘀湯,1,11.0,0,30.0,31.0,28.0,23.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_479e52b534,越婢加朮湯,base_or_family_formula,ffam_72cfae04aa56,越婢加朮湯|越婢加朮湯【傷寒|越婢加朮湯【金匱,3,0,0,29.0,31.0,13.0,11.0,1,2,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_7a66706a59,三子養親湯,base_or_family_formula,ffam_6a1ff03faab3,,0,3.0,0,29.0,29.0,13.0,23.0,1,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_68711ac98b,參附湯,standard_or_unspecified_formula,ffam_8730de503d7b,,0,2.0,0,29.0,29.0,19.0,19.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_6fbd1b243a,增液承氣湯,standard_or_unspecified_formula,ffam_41d2bcf78be8,,0,5.0,0,29.0,29.0,32.0,7.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_a395e5b3b3,射干麻黃湯,standard_or_unspecified_formula,ffam_ff9072be63c1,射干麻黃湯,1,0,0,28.0,38.0,14.0,8.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_559952c25a,桂枝芍藥知母湯,standard_or_unspecified_formula,ffam_496714d83c39,桂枝芍藥知母湯,1,0,0,28.0,29.0,35.0,7.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_9f02adb24e,二陳湯,standard_or_unspecified_formula,ffam_e54caa43072b,,0,6.0,0,28.0,29.0,16.0,16.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_a61be5b856,理中丸,named_variant_or_modified_formula,ffam_b5b608504480,理中丸,1,0,0,27.0,29.0,21.0,14.0,0,1,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_07f55734cb,葶藶大棗瀉肺湯,standard_or_unspecified_formula,ffam_9513274013df,葶藶大棗瀉肺湯,1,0,0,27.0,30.0,6.0,4.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_3d9f86ea28,桃核承氣湯,standard_or_unspecified_formula,ffam_daf8be019c98,桃核承氣湯,1,0,0,27.0,28.0,11.0,6.0,0,0,medium_or_event_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_922833cbb5,白頭翁湯,base_or_family_formula,ffam_bcd97fec4c45,白頭翁湯|白頭翁湯【傷寒|白頭翁湯【金匱,3,0,0,27.0,28.0,21.0,15.0,1,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_30cd7a1011,葛根黃芩黃連湯,standard_or_unspecified_formula,ffam_22d89bad7797,葛根芩連湯|葛根黃芩黃連湯,2,0,0,26.0,27.0,12.0,8.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_d96e805543,天王補心丹,standard_or_unspecified_formula,ffam_2f37e80a94e5,,0,14.0,0,26.0,26.0,35.0,18.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_3c0073f39d,天麻鉤藤飲,standard_or_unspecified_formula,ffam_7f9a7f69e4f6,,0,11.0,0,26.0,26.0,26.0,18.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_b0abe49c63,平胃散,standard_or_unspecified_formula,ffam_024d03385ee2,,0,6.0,0,26.0,26.0,18.0,18.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_1456bfc3e0,越婢湯,base_or_family_formula,ffam_72cfae04aa56,越婢湯,1,0,0,26.0,26.0,24.0,16.0,3,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_eaa4fac2c8,通脈四逆湯,base_or_family_formula,ffam_b4881645aec1,通脈四逆湯|通脈四逆湯【傷寒|通脈四逆湯【金匱,3,0,0,25.0,27.0,14.0,7.0,1,1,medium_or_event_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_1bf0ba5104,吳茱萸,standard_or_unspecified_formula,ffam_f3665b0d7bfe,,0,0,0,25.0,26.0,4.0,10.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_4da66939b9,橘皮竹茹湯,standard_or_unspecified_formula,ffam_d38346a129f8,橘皮竹茹湯,1,0,0,24.0,26.0,13.0,7.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_9225c672aa,茵陳五苓散,standard_or_unspecified_formula,ffam_191cdf219232,茵陳五苓散|五苓散加茵陳蒿,2,6.0,0,24.0,25.0,20.0,13.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_7b82ba00b0,導赤散,standard_or_unspecified_formula,ffam_a1b96bdc14f7,導赤散,1,4.0,0,24.0,24.0,16.0,15.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_3ef5308d66,新加香薷飲,standard_or_unspecified_formula,ffam_e6634491e7bd,,0,0,0,24.0,24.0,15.0,11.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_533cd88a71,玉女煎,standard_or_unspecified_formula,ffam_e08662bf6f28,玉女煎,1,0,0,24.0,24.0,4.0,4.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_831b8663b8,杏蘇散,standard_or_unspecified_formula,ffam_75e44db924e4,杏蘇散,1,11.0,0,23.0,23.0,36.0,14.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_253b0ba969,百合固金湯,standard_or_unspecified_formula,ffam_5fb76e5e570c,,0,9.0,0,23.0,23.0,29.0,19.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_79538de35a,荊防敗毒散,base_or_family_formula,ffam_a6d33e95bbf3,荊防敗毒散,1,0,0,23.0,23.0,7.0,21.0,1,0,high_or_seeded,1,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_4da6dea6c5,附子湯,standard_or_unspecified_formula,ffam_a82f780f7d8e,乃附子湯|附子湯,2,0,0,23.0,23.0,8.0,3.0,0,0,medium_or_event_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_ff9f5b461f,黃芩湯,base_or_family_formula,ffam_8b5dcb8b97bc,黃芩湯,1,0,0,23.0,23.0,17.0,5.0,1,0,medium_or_event_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_c4005c8d78,栝蔞薤白白酒湯,standard_or_unspecified_formula,ffam_47ccf998bd61,栝萋薤白白酒湯|栝蔞薤白白酒湯|瓜蔞薤白白酒湯,3,0,0,22.0,24.0,15.0,11.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_fa95e4ef45,加味逍遙散,standard_or_unspecified_formula,ffam_0e843d40f5c4,加味逍遙散,1,0,0,22.0,22.0,4.0,4.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_4f746eced5,桃花湯,standard_or_unspecified_formula,ffam_8d36446beb69,桃花湯|桃花湯【傷寒|桃花湯【金匱,3,0,0,21.0,26.0,20.0,10.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_6fc2209755,澤瀉湯,standard_or_unspecified_formula,ffam_123a3464ad57,澤瀉湯,1,0,0,21.0,23.0,5.0,3.0,0,0,medium_or_event_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_adaad80c19,清宮湯,standard_or_unspecified_formula,ffam_0c30ed013d3c,,0,0,0,21.0,22.0,13.0,1.0,0,0,medium_or_event_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_aad8567a39,當歸四逆湯,base_or_family_formula,ffam_d699c68334bb,當歸四逆湯,1,0,0,21.0,21.0,15.0,9.0,1,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_41c17eba64,蘇合香丸,standard_or_unspecified_formula,ffam_546885f18661,,0,14.0,0,21.0,21.0,32.0,17.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_db71668ec2,防風湯,standard_or_unspecified_formula,ffam_9f9eaf5a62ce,,0,9.0,0,21.0,21.0,21.0,9.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_25ddb73d49,甘草瀉心湯,standard_or_unspecified_formula,ffam_3d876ed0fe94,甘草瀉心湯|甘草瀉心湯【傷寒|甘草瀉心湯【金匱,3,0,0,20.0,23.0,19.0,6.0,0,0,medium_or_event_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_4d1113ca58,栝蔞桂枝湯,base_or_family_formula,ffam_54e01fe1716b,栝簍桂枝湯|栝蔞桂枝湯|瓜蔞桂枝湯,3,0,0,20.0,22.0,24.0,8.0,2,2,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_184be8355f,甘遂半夏湯,standard_or_unspecified_formula,ffam_d0354e1be250,甘遂半夏湯,1,0,0,20.0,21.0,18.0,8.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
can_dd839f9587,定喘湯,standard_or_unspecified_formula,ffam_7f52837064a3,定喘湯,1,9.0,0,20.0,20.0,24.0,16.0,0,0,high_or_seeded,0,one canonical formula entity; source-specific records and variants kept as separate ontology layers
