variant_relation_id,variant_formula_id,variant_formula_name,base_formula_id,base_formula_name,relation_type_original,relation_type_normalized,evidence_class,evidence_text,source_ref_id,source_book,confidence_label,confidence_score,origin,added_herbs_text_candidate,removed_herbs_text_candidate,merge_policy,added_herbs_computed_v4_6,removed_herbs_computed_v4_6,dose_or_processing_changes_v4_6,delta_summary_v4_6,delta_basis_v4_6
vrel_v39_wuling_yinchen_addition,can_9225c672aa,茵陳五苓散,can_4ec3299305,五苓散,named_variant_from_base_formula,addition_of,official_and_classic_formula_relation,《金匱要略》原方作「茵陳蒿末十分，五苓散五分」；衛福部處方展開為茵陳蒿、澤瀉、豬苓、茯苓、白朮、桂枝。故以五苓散為母方、茵陳五苓散為加茵陳蒿之命名變方。,mohw_068_and_classic_jingui,金匱要略／衛福部中醫藥司,high,0.96,v3.9_manual_repair,茵陳蒿,,manual_verified_v3_9,茵陳蒿,,澤瀉:7.5->2.5；豬苓:4.5->1.5；茯苓:4.5->1.5；白朮:4.5->1.5；桂枝:3->1,加：茵陳蒿；劑量／炮製調整：澤瀉（7.5→2.5）、豬苓（4.5→1.5）、茯苓（4.5→1.5）、白朮（4.5→1.5）、桂枝（3→1）,computed_from_preferred_composition_versions
fvar_78798e10866f,can_ddf23de8f1,六味地黃丸+黃連阿膠湯,can_2894f9f3f7,黃連阿膠湯,combines_formula,compound_contains_formula,explicit_or_seed_relation,合方節點包含 黃連阿膠湯,,v146_graph,high,0.9,H_master_v2_relation,,,do_not_merge; preserve canonical nodes; use relation for family navigation,,,,,
fvar_6d07dc1de3ee,can_ddf23de8f1,六味地黃丸+黃連阿膠湯,can_239d9dd90c,六味地黃丸,combines_formula,compound_contains_formula,explicit_or_seed_relation,合方節點包含 六味地黃丸,,v146_graph,high,0.9,H_master_v2_relation,,,do_not_merge; preserve canonical nodes; use relation for family navigation,,,,,
fvar_1d2561f97c81,can_2894f9f3f7,黃連阿膠湯,can_ddf23de8f1,六味地黃丸+黃連阿膠湯,component_of_combo,component_of_combo,explicit_or_seed_relation,黃連阿膠湯 是不寐陰虛火旺合方的一部分,,v146_graph,high,0.9,H_master_v2_relation,,,do_not_merge; preserve canonical nodes; use relation for family navigation,,山茱萸、山藥、澤瀉、熟地黃、牡丹皮、茯苓,黃連:->四兩；黃芩:->二兩；芍藥:->二兩；雞子黃:->二枚；阿膠:->三兩,去：山茱萸、山藥、澤瀉、熟地黃、牡丹皮、茯苓；劑量／炮製調整：黃連（原方→四兩）、黃芩（原方→二兩）、芍藥（原方→二兩）、雞子黃（原方→二枚）、阿膠（原方→三兩）,computed_from_preferred_composition_versions
fvar_84a73aacd6a5,can_ade50c4bf6,桂苓五味甘草去桂加薑辛夏湯,can_bf1d0528e8,桂苓五味甘草湯,named_variant,variant_of,taxonomy_variant_alias,桂苓五味甘草湯去桂加乾薑、細辛；嘔者復納半夏,,mb_jingui,0.9,0.9,H_master_v2_relation,薑辛夏,桂,do_not_merge; preserve canonical nodes; use relation for family navigation,細辛、乾薑、半夏、薑辛夏,桂枝,甘草:三兩->二兩,加：細辛、乾薑、半夏、薑辛夏；去：桂枝；劑量／炮製調整：甘草（三兩→二兩）,computed_from_preferred_composition_versions
fvar_e87714bebe5c,can_479e52b534,越婢加朮湯,can_1456bfc3e0,越婢湯,named_variant,variant_of,taxonomy_variant_alias,越婢湯，於內加白朮四兩,,mb_jingui,0.9,0.9,H_master_v2_relation,朮,,do_not_merge; preserve canonical nodes; use relation for family navigation,白朮、朮,,,加：白朮、朮,computed_from_preferred_composition_versions
fvar_34e8f02750bc,can_17d6d4d2a6,白朮附子湯,can_70d8a89772,桂枝附子湯,named_variant,variant_of,taxonomy_variant_alias,白朮附子湯(去桂加白朮湯),,mb_jingui,0.84,0.84,H_master_v2_relation,,,do_not_merge; preserve canonical nodes; use relation for family navigation,白朮,桂枝,"附子:三枚,,,破八片->一枚半；甘草:二兩->一兩；生薑:三兩->一兩半；大棗:十二枚->六枚","加：白朮；去：桂枝；劑量／炮製調整：附子（三枚,,,破八片→一枚半）、甘草（二兩→一兩）、生薑（三兩→一兩半）、大棗（十二枚→六枚）",computed_from_preferred_composition_versions
fvar_0cdfa10f9efa,can_4702b3ae84,黃耆建中湯,can_17b038dbde,小建中湯,named_variant,variant_of,taxonomy_variant_alias,於小建中湯內加黃耆一兩半,,mb_jingui,0.84,0.84,H_master_v2_relation,,,do_not_merge; preserve canonical nodes; use relation for family navigation,黃耆,,甘草:二兩->三兩；大棗:二十枚->十二枚,加：黃耆；劑量／炮製調整：甘草（二兩→三兩）、大棗（二十枚→十二枚）,computed_from_preferred_composition_versions
fvar_0c7e2e7329cb,can_8385e54d5e,苓甘五味薑辛湯,can_bf1d0528e8,桂苓五味甘草湯,named_variant,variant_of,taxonomy_variant_alias,桂苓五味甘草湯去桂加乾薑、細辛,,mb_jingui,0.84,0.84,H_master_v2_relation,,,do_not_merge; preserve canonical nodes; use relation for family navigation,乾姜、細辛,桂枝,,加：乾姜、細辛；去：桂枝,computed_from_preferred_composition_versions
fvar_62b3f7b1f0e3,can_ccabb452af,苓甘五味加薑辛半夏杏仁湯,can_8385e54d5e,苓甘五味薑辛湯,named_variant,variant_of,taxonomy_variant_alias,苓甘五味加薑辛半夏杏仁湯,,mb_jingui,0.84,0.84,H_master_v2_relation,薑辛半夏杏仁,,do_not_merge; preserve canonical nodes; use relation for family navigation,五味、乾薑、半夏、杏仁、薑辛半夏杏仁,乾姜、五味子,,加：五味、乾薑、半夏、杏仁、薑辛半夏杏仁；去：乾姜、五味子,computed_from_preferred_composition_versions
fvar_acec48fae2f1,can_f6f14b7644,桂枝加黃耆湯,can_2849adeebb,桂枝湯,named_variant,variant_of,taxonomy_variant_alias,桂枝加黃耆湯,,mb_jingui,0.84,0.84,H_master_v2_relation,黃耆,,do_not_merge; preserve canonical nodes; use relation for family navigation,黃耆,,,加：黃耆,computed_from_preferred_composition_versions
fvar_aadf1665c16f,can_a5504301bc,桂枝加龍骨牡蠣湯,can_2849adeebb,桂枝湯,named_variant,variant_of,taxonomy_variant_alias,桂枝加龍骨牡蠣湯,,mb_jingui,0.84,0.84,H_master_v2_relation,龍骨牡蠣,,do_not_merge; preserve canonical nodes; use relation for family navigation,附子、龍骨、牡蠣,,,加：附子、龍骨、牡蠣,computed_from_preferred_composition_versions
fvar_93aafe1e36bb,can_072d834e75,桂枝去芍藥加麻黃細辛附子湯,can_2849adeebb,桂枝湯,named_variant,variant_of,taxonomy_variant_alias,桂枝去芍藥加麻黃細辛附子湯,,mb_jingui,0.84,0.84,H_master_v2_relation,麻黃細辛附子,芍藥,do_not_merge; preserve canonical nodes; use relation for family navigation,麻黃、細辛、附子,芍藥,,加：麻黃、細辛、附子；去：芍藥,computed_from_preferred_composition_versions
fvar_5d243ade0932,can_44bdb5ddeb,烏頭桂枝湯,can_2849adeebb,桂枝湯,named_variant,variant_of,taxonomy_variant_alias,烏頭桂枝湯,,mb_jingui,0.84,0.84,H_master_v2_relation,,,do_not_merge; preserve canonical nodes; use relation for family navigation,烏頭,,,加：烏頭；資料不足，採候選關係文字輔助顯示,variant_name_or_evidence_implies_base_formula_but_composition_incomplete
fvar_b1b952dcc4ab,can_e4355f999b,桂枝加桂湯,can_2849adeebb,桂枝湯,named_variant,variant_of,taxonomy_variant_alias,桂枝加桂湯：桂枝湯加重桂枝,,mb_jingui,0.84,0.84,H_master_v2_relation,桂,,do_not_merge; preserve canonical nodes; use relation for family navigation,,,桂枝:三兩->五兩,劑量／炮製調整：桂枝（三兩→五兩）,computed_from_preferred_composition_versions
fvar_c396ebdd3d79,can_0e1aca45b9,白頭翁加甘草阿膠湯,can_922833cbb5,白頭翁湯,named_variant,variant_of,taxonomy_variant_alias,白頭翁加甘草阿膠湯,,mb_jingui,0.84,0.84,H_master_v2_relation,甘草阿膠,,do_not_merge; preserve canonical nodes; use relation for family navigation,甘草、阿膠、柏皮、甘草阿膠,黃柏,,加：甘草、阿膠、柏皮、甘草阿膠；去：黃柏,computed_from_preferred_composition_versions
fvar_25df9acfcc60,can_4bc4dfa755,越婢加半夏湯,can_1456bfc3e0,越婢湯,named_variant,variant_of,taxonomy_variant_alias,越婢加半夏湯,,mb_jingui,0.84,0.84,H_master_v2_relation,半夏,,do_not_merge; preserve canonical nodes; use relation for family navigation,半夏,,,加：半夏,computed_from_preferred_composition_versions
fvar_a7b2fe9f1851,can_b7bc26913a,小半夏加茯苓湯,can_f51682eb9f,小半夏湯,named_variant,variant_of,taxonomy_variant_alias,小半夏加茯苓湯,,mb_jingui,0.84,0.84,H_master_v2_relation,茯苓,,do_not_merge; preserve canonical nodes; use relation for family navigation,茯苓,,,加：茯苓,computed_from_preferred_composition_versions
fvar_435d4de4fe90,can_738e7dea8a,小青龍加石膏湯,can_0a5b7e34af,小青龍湯,named_variant,variant_of,taxonomy_variant_alias,小青龍加石膏湯,,mb_jingui,0.84,0.84,H_master_v2_relation,石膏,,do_not_merge; preserve canonical nodes; use relation for family navigation,石膏,,,加：石膏,computed_from_preferred_composition_versions
fvar_066dff09186d,can_444341c48f,木防己去石膏加茯苓芒硝湯,can_d02d5ea55c,木防己湯,named_variant,variant_of,taxonomy_variant_alias,木防己湯去石膏加茯苓芒硝湯,,mb_jingui,0.84,0.84,H_master_v2_relation,茯苓芒硝,石膏,do_not_merge; preserve canonical nodes; use relation for family navigation,芒硝、茯苓、茯苓芒硝,石膏,木防己:三兩->二兩,加：芒硝、茯苓、茯苓芒硝；去：石膏；劑量／炮製調整：木防己（三兩→二兩）,computed_from_preferred_composition_versions
fvar_5e09094dd15f,can_5a2b52f66f,枳實薤白桂枝湯,can_2849adeebb,桂枝湯,named_variant,variant_of,taxonomy_variant_alias,枳實薤白桂枝湯,,mb_jingui,0.84,0.84,H_master_v2_relation,,,do_not_merge; preserve canonical nodes; use relation for family navigation,枳實、厚朴、薤白、栝蔞,,桂枝:三兩->一兩,加：枳實、厚朴、薤白、栝蔞；劑量／炮製調整：桂枝（三兩→一兩）；資料不足，採候選關係文字輔助顯示,variant_name_or_evidence_implies_base_formula_but_composition_incomplete
fvar_4e364329f5a2,can_4d1113ca58,栝蔞桂枝湯,can_2849adeebb,桂枝湯,named_variant,variant_of,taxonomy_variant_alias,栝蔞桂枝湯,,mb_jingui,0.84,0.84,H_master_v2_relation,,,do_not_merge; preserve canonical nodes; use relation for family navigation,栝蔞根,,,加：栝蔞根,computed_from_preferred_composition_versions
fvar_e33ee6a580be,can_e4355f999b,桂枝加桂湯,can_2849adeebb,桂枝湯,named_variant,variant_of,taxonomy_variant_alias,桂枝加桂湯,,mb_jingui,0.84,0.84,H_master_v2_relation,桂,,do_not_merge; preserve canonical nodes; use relation for family navigation,,,桂枝:三兩->五兩,劑量／炮製調整：桂枝（三兩→五兩）,computed_from_preferred_composition_versions
fvar_d684c653f479,can_6dec689ab1,白虎加桂枝湯,can_2849adeebb,桂枝湯,named_variant,variant_of,taxonomy_variant_alias,白虎加桂枝湯,,mb_jingui,0.84,0.84,H_master_v2_relation,桂枝,,do_not_merge; preserve canonical nodes; use relation for family navigation,知母、石膏、粳米,,桂枝:三兩->三兩,加：知母、石膏、粳米；劑量／炮製調整：桂枝（三兩→三兩）；資料不足，採候選關係文字輔助顯示,variant_name_or_evidence_implies_base_formula_but_composition_incomplete
fvar_eeee733a61ed,can_b7bc26913a,小半夏加茯苓湯,can_b7bc26913a,小半夏加茯苓湯,has_variant,variant_of,taxonomy_variant_alias,小半夏加茯苓湯,,mb_jingui,0.84,0.84,H_master_v2_relation,茯苓,,do_not_merge; preserve canonical nodes; use relation for family navigation,,,"茯苓:三兩,一法四兩->三兩,一法四兩","劑量／炮製調整：茯苓（三兩,一法四兩→三兩,一法四兩）",computed_from_preferred_composition_versions
fvar_67b30ebda76c,can_738e7dea8a,小青龍加石膏湯,can_738e7dea8a,小青龍加石膏湯,has_variant,variant_of,taxonomy_variant_alias,小青龍加石膏湯,,mb_jingui,0.84,0.84,H_master_v2_relation,石膏,,do_not_merge; preserve canonical nodes; use relation for family navigation,,,石膏:二兩->二兩,劑量／炮製調整：石膏（二兩→二兩）,computed_from_preferred_composition_versions
fvar_374a806b41b6,can_444341c48f,木防己去石膏加茯苓芒硝湯,can_444341c48f,木防己去石膏加茯苓芒硝湯,has_variant,variant_of,taxonomy_variant_alias,木防己去石膏加茯苓芒硝湯,,mb_jingui,0.84,0.84,H_master_v2_relation,茯苓芒硝,石膏,do_not_merge; preserve canonical nodes; use relation for family navigation,茯苓芒硝,,,加：茯苓芒硝,computed_from_preferred_composition_versions
fvar_f46886bfb64c,can_5a2b52f66f,枳實薤白桂枝湯,can_5a2b52f66f,枳實薤白桂枝湯,has_variant,variant_of,taxonomy_variant_alias,枳實薤白桂枝湯,,mb_jingui,0.84,0.84,H_master_v2_relation,,,do_not_merge; preserve canonical nodes; use relation for family navigation,,,,未能由目前結構化組成判定明確加減；請看原文依據,computed_from_preferred_composition_versions
fvar_3138adf89e1b,can_0e1aca45b9,白頭翁加甘草阿膠湯,can_0e1aca45b9,白頭翁加甘草阿膠湯,has_variant,variant_of,taxonomy_variant_alias,白頭翁加甘草阿膠湯,,mb_jingui,0.84,0.84,H_master_v2_relation,甘草阿膠,,do_not_merge; preserve canonical nodes; use relation for family navigation,甘草阿膠,,,加：甘草阿膠,computed_from_preferred_composition_versions
fvar_b0d4aa4319ef,can_4bc4dfa755,越婢加半夏湯,can_4bc4dfa755,越婢加半夏湯,has_variant,variant_of,taxonomy_variant_alias,越婢加半夏湯,,mb_jingui,0.84,0.84,H_master_v2_relation,半夏,,do_not_merge; preserve canonical nodes; use relation for family navigation,,,半夏:半升->半升,劑量／炮製調整：半夏（半升→半升）,computed_from_preferred_composition_versions
fvar_274c1ed0cd98,can_6dec689ab1,白虎加桂枝湯,can_6dec689ab1,白虎加桂枝湯,has_variant,variant_of,taxonomy_variant_alias,白虎加桂枝湯,,mb_jingui,0.84,0.84,H_master_v2_relation,桂枝,,do_not_merge; preserve canonical nodes; use relation for family navigation,,,桂枝:三兩->三兩,劑量／炮製調整：桂枝（三兩→三兩）,computed_from_preferred_composition_versions
fvar_2d1405a29dce,can_44bdb5ddeb,烏頭桂枝湯,can_44bdb5ddeb,烏頭桂枝湯,has_variant,variant_of,taxonomy_variant_alias,烏頭桂枝湯,,mb_jingui,0.84,0.84,H_master_v2_relation,,,do_not_merge; preserve canonical nodes; use relation for family navigation,,,,未能由目前結構化組成判定明確加減；請看原文依據,computed_from_preferred_composition_versions
fvar_964572219776,can_ade50c4bf6,桂苓五味甘草去桂加薑辛夏湯,can_ade50c4bf6,桂苓五味甘草去桂加薑辛夏湯,has_variant,variant_of,taxonomy_variant_alias,桂苓五味甘草去桂加薑辛夏湯,,mb_jingui,0.84,0.84,H_master_v2_relation,薑辛夏,桂,do_not_merge; preserve canonical nodes; use relation for family navigation,薑辛夏,,,加：薑辛夏,computed_from_preferred_composition_versions
fvar_6ee05c4b53a5,can_072d834e75,桂枝去芍藥加麻黃細辛附子湯,can_072d834e75,桂枝去芍藥加麻黃細辛附子湯,has_variant,variant_of,taxonomy_variant_alias,桂枝去芍藥加麻黃細辛附子湯,,mb_jingui,0.84,0.84,H_master_v2_relation,麻黃細辛附子,芍藥,do_not_merge; preserve canonical nodes; use relation for family navigation,,芍藥,麻黃:二兩->二兩；細辛:二兩->二兩；附子:一枚->一枚,去：芍藥；劑量／炮製調整：麻黃（二兩→二兩）、細辛（二兩→二兩）、附子（一枚→一枚）,computed_from_preferred_composition_versions
fvar_6a901c062c52,can_a5504301bc,桂枝加龍骨牡蠣湯,can_a5504301bc,桂枝加龍骨牡蠣湯,has_variant,variant_of,taxonomy_variant_alias,桂枝加龍骨牡蠣湯,,mb_jingui,0.84,0.84,H_master_v2_relation,龍骨牡蠣,,do_not_merge; preserve canonical nodes; use relation for family navigation,,,龍骨:各三兩->各三兩；牡蠣:各三兩->各三兩,劑量／炮製調整：龍骨（各三兩→各三兩）、牡蠣（各三兩→各三兩）,computed_from_preferred_composition_versions
fvar_23794e2e9504,can_f6f14b7644,桂枝加黃耆湯,can_f6f14b7644,桂枝加黃耆湯,has_variant,variant_of,taxonomy_variant_alias,桂枝加黃耆湯,,mb_jingui,0.84,0.84,H_master_v2_relation,黃耆,,do_not_merge; preserve canonical nodes; use relation for family navigation,,,黃耆:二兩->二兩,劑量／炮製調整：黃耆（二兩→二兩）,computed_from_preferred_composition_versions
fvar_51eb16aadc60,can_e4355f999b,桂枝加桂湯,can_e4355f999b,桂枝加桂湯,has_variant,variant_of,taxonomy_variant_alias,桂枝加桂湯,,mb_jingui,0.84,0.84,H_master_v2_relation,桂,,do_not_merge; preserve canonical nodes; use relation for family navigation,,,桂枝:五兩->五兩,劑量／炮製調整：桂枝（五兩→五兩）,computed_from_preferred_composition_versions
fvar_08e0a60af99c,can_4d1113ca58,栝蔞桂枝湯,can_4d1113ca58,栝蔞桂枝湯,has_variant,variant_of,taxonomy_variant_alias,栝蔞桂枝湯,,mb_jingui,0.84,0.84,H_master_v2_relation,,,do_not_merge; preserve canonical nodes; use relation for family navigation,,,,未能由目前結構化組成判定明確加減；請看原文依據,computed_from_preferred_composition_versions
fvar_06f0375a99c0,can_ccabb452af,苓甘五味加薑辛半夏杏仁湯,can_ccabb452af,苓甘五味加薑辛半夏杏仁湯,has_variant,variant_of,taxonomy_variant_alias,苓甘五味加薑辛半夏杏仁湯,,mb_jingui,0.84,0.84,H_master_v2_relation,薑辛半夏杏仁,,do_not_merge; preserve canonical nodes; use relation for family navigation,薑辛半夏杏仁,,,加：薑辛半夏杏仁,computed_from_preferred_composition_versions
fvar_8c4f536942c8,can_479e52b534,越婢加朮湯,can_479e52b534,越婢加朮湯,has_variant,variant_of,taxonomy_variant_alias,越婢加朮湯,,mb_jingui,0.84,0.84,H_master_v2_relation,朮,,do_not_merge; preserve canonical nodes; use relation for family navigation,朮,,,加：朮,computed_from_preferred_composition_versions
fvar_99731807d7fd,can_fa297aa0fd,柴胡加龍骨牡蠣湯,can_2a67e77749,柴胡湯,named_variant,variant_of,taxonomy_variant_alias,柴胡加龍骨牡蠣湯；本云柴胡湯，今加龍骨等,,mb_shanghan,0.82,0.82,H_master_v2_relation,龍骨牡蠣,,do_not_merge; preserve canonical nodes; use relation for family navigation,柴胡、龍骨、黃芩、生薑、鉛丹、人參、桂枝、茯苓半、半夏、大黃、牡蠣、大棗,,,加：柴胡、龍骨、黃芩、生薑、鉛丹、人參、桂枝、茯苓半、半夏、大黃、牡蠣、大棗；資料不足，採候選關係文字輔助顯示,relation_text_only_or_incomplete_composition
fvar_ca4d12bb5958,can_b89804367c,桂枝加厚朴杏子湯,can_2849adeebb,桂枝湯,named_variant,variant_of,taxonomy_variant_alias,桂枝加厚朴杏子湯；桂枝湯加厚朴、杏子,,mb_shanghan,0.82,0.82,H_master_v2_relation,厚朴杏子,,do_not_merge; preserve canonical nodes; use relation for family navigation,厚朴、杏仁、厚朴杏子,,,加：厚朴、杏仁、厚朴杏子,computed_from_preferred_composition_versions
fvar_dc090d7ad30b,can_e4355f999b,桂枝加桂湯,can_2849adeebb,桂枝湯,named_variant,variant_of,taxonomy_variant_alias,桂枝加桂湯；本云桂枝湯，今加桂滿五兩,,mb_shanghan,0.82,0.82,H_master_v2_relation,桂,,do_not_merge; preserve canonical nodes; use relation for family navigation,,,桂枝:三兩->五兩,劑量／炮製調整：桂枝（三兩→五兩）,computed_from_preferred_composition_versions
fvar_c07a47773b20,can_a9e9beb2b4,桂枝加芍藥生薑各一兩人參三兩新加湯,can_2849adeebb,桂枝湯,named_variant,variant_of,taxonomy_variant_alias,桂枝加芍藥生薑各一兩人參三兩新加湯；桂枝湯今加芍藥、生薑、人參,,mb_shanghan,0.82,0.82,H_master_v2_relation,芍藥生薑各一兩人參三兩新加,,do_not_merge; preserve canonical nodes; use relation for family navigation,人參、芍藥生薑各一兩人參三兩新加,,芍藥:三兩->四兩；生薑:三兩->四兩,加：人參、芍藥生薑各一兩人參三兩新加；劑量／炮製調整：芍藥（三兩→四兩）、生薑（三兩→四兩）,computed_from_preferred_composition_versions
fvar_0c9d597cec7b,can_5def52eacc,桂枝加葛根湯,can_2849adeebb,桂枝湯,named_variant,variant_of,taxonomy_variant_alias,桂枝加葛根湯；桂枝湯加葛根,,mb_shanghan,0.82,0.82,H_master_v2_relation,葛根,,do_not_merge; preserve canonical nodes; use relation for family navigation,葛根,,芍藥:三兩->二兩；桂枝:三兩->二兩,加：葛根；劑量／炮製調整：芍藥（三兩→二兩）、桂枝（三兩→二兩）,computed_from_preferred_composition_versions
fvar_13f634b3e113,can_de97b9f678,桂枝加附子湯,can_2849adeebb,桂枝湯,named_variant,variant_of,taxonomy_variant_alias,桂枝加附子湯；桂枝湯今加附子,,mb_shanghan,0.82,0.82,H_master_v2_relation,附子,,do_not_merge; preserve canonical nodes; use relation for family navigation,附子,,甘草:二兩->三兩,加：附子；劑量／炮製調整：甘草（二兩→三兩）,computed_from_preferred_composition_versions
fvar_e8bb6defeeec,can_ae15981a69,桂枝去桂加茯苓白朮湯,can_2849adeebb,桂枝湯,named_variant,variant_of,taxonomy_variant_alias,桂枝去桂加茯苓白朮湯,,mb_shanghan,0.82,0.82,H_master_v2_relation,茯苓白朮,桂,do_not_merge; preserve canonical nodes; use relation for family navigation,白朮、茯苓、茯苓白朮,桂枝,,加：白朮、茯苓、茯苓白朮；去：桂枝,computed_from_preferred_composition_versions
