link_id,clause_master_id,book_id,clause_no,formula_name,formula_canonical_id,relation_type,evidence_text,source_pdf_pages
k3_clause_formula_1eefad990a,clause_jg_505077ce20,jingui,,四逆湯,can_4bd7a9684a,classic_clause_uses_formula,下利腹脹滿，身體疼痛者，先溫其裏，乃攻其表。溫裏宜四逆湯，攻表宜桂枝湯。,122
k3_clause_formula_d9707e4b74,clause_jg_895c8d980f,jingui,44.0,梔子豉湯,can_2482e4b13d,classic_clause_uses_formula,下利後更煩，按之心下濡者，為虛煩也，梔子豉湯主之。(44),123
k3_clause_formula_9c8880a13e,clause_jg_af3938217f,jingui,46.0,紫參湯,can_b18a13f6c2,classic_clause_uses_formula,下利肺痛，紫參湯主之。(46),123
k3_clause_formula_3cbf96f7cf,clause_jg_fe57c220f6,jingui,15.0,黃土湯,can_d21b4c22dd,classic_clause_uses_formula,下血，先便後血，此遠血也，黃土湯主之。(15),109
k3_clause_formula_b067c85d4d,clause_jg_1434e397f7,jingui,16.0,赤小豆當歸散,can_22f9c07268,classic_clause_uses_formula,本條論述虛寒便血的證治。 下血，大便在先，便後出血，血來自直腸以上的部位， 稱為「遠血」。 多由中焦脾氣虛寒，統攝無權而血下滲所致。 下血，先血後便，此近血也，赤小豆當歸散主之。(16),109
k3_clause_formula_c615e2f7e1,clause_jg_30a97b2ba5,jingui,7.0,旋覆花湯,can_6a20369ddb,classic_clause_uses_formula,肝著，其人常欲蹈其胸上，先未苦時，但欲飲熱，旋覆花湯主之。臣億等校諸本旋覆花 湯方，皆同。(7),65
k3_clause_formula_44221a22c5,clause_jg_392339a05f,jingui,15.0,麻子仁丸,can_c55bf7f8a9,classic_clause_uses_formula,趺陽脈浮而澀，浮則胃氣強，澀則小便數，浮澀相搏，大便則堅，其脾為約， 麻子仁丸主之。(15),65
k3_clause_formula_1be58988d5,clause_jg_1c82bbae4e,jingui,16.0,甘薑苓朮湯,can_9336ee8e50,classic_clause_uses_formula,腎著之病，其人身體重，腰中冷，如坐水中，形如水狀，反不渴，小便自利，飲食 如故，病屬下焦，身勞汗出，衣一作表裏冷濕，久久得之，腰以下冷痛，腹重如帶 五千錢，甘薑苓朮湯主之。(16),65
k3_clause_formula_69835a1855,clause_jg_1729f5677e,jingui,14.0,柏葉湯,can_22850559b7,classic_clause_uses_formula,吐血不止者，柏葉湯主之。(14),106
k3_clause_formula_1580bcfe84,clause_jg_df21561164,jingui,17.0,瀉心湯,can_1a91e01bb6,classic_clause_uses_formula,心氣不足，吐血、衄血，瀉心湯主之。(17),106
k3_clause_formula_d1657c2648,clause_jg_6ba8c89cf1,jingui,6.0,射干麻黃湯,can_a395e5b3b3,classic_clause_uses_formula,咳而上氣，喉中水雞聲，射干麻黃湯主之。(6),45
k3_clause_formula_20e3c2842a,clause_jg_6471c3a325,jingui,7.0,皂莢丸,can_50eca2140f,classic_clause_uses_formula,痰氣為病 咳逆上氣，時時吐濁，但坐不得眠，皂莢丸主之。(7),45
k3_clause_formula_89e52a0392,clause_jg_4b12b4c901,jingui,8.0,厚朴麻黃湯,can_987fd2d512,classic_clause_uses_formula,風寒病外 咳而脈浮者，厚朴麻黃湯主之。(8),45
k3_clause_formula_fc361dbdb9,clause_jg_07d935c9cd,jingui,9.0,澤漆湯,can_b2ca4cdedd,classic_clause_uses_formula,痰飲病內 脈沈者，澤漆湯主之。(9),45
k3_clause_formula_c1b4134e20,clause_jg_a422d273c8,jingui,13.0,越婢加半夏湯,can_4bc4dfa755,classic_clause_uses_formula,氣逆肺脹 咳而上氣，此為肺脹，其人喘，目如脫狀，脈浮大者，越婢加半夏湯主之。(13),45
k3_clause_formula_87db07901c,clause_jg_4d481de3db,jingui,14.0,小青龍加石膏湯,can_738e7dea8a,classic_clause_uses_formula,水氣肺脹 肺脹，咳而上氣，煩躁而喘，脈浮者，心下有水，小青龍加石膏湯主之。(14),45
k3_clause_formula_88f5e7e3a0,clause_jg_063f49fd1e,jingui,8.0,茱萸湯,can_1ac5dea113,classic_clause_uses_formula,嘔而胸滿者，茱萸湯主之。(8),112
k3_clause_formula_66fb1b85d0,clause_jg_32ab1cdf63,jingui,9.0,茱萸湯,can_1ac5dea113,classic_clause_uses_formula,乾嘔，吐涎沫，頭痛者，茱萸湯主之。(9),112
k3_clause_formula_964af82c38,clause_jg_fed6ebe592,jingui,10.0,半夏瀉心湯,can_f7fe3e3a3d,classic_clause_uses_formula,嘔而腸鳴，心下痞者，半夏瀉心湯主之。(10),112
k3_clause_formula_1bb7068a24,clause_jg_88bb3e48e2,jingui,11.0,黃芩加半夏生薑湯,can_9108e059f2,classic_clause_uses_formula,乾嘔而利者，黃芩加半夏生薑湯主之。(11),112
k3_clause_formula_f2654dc013,clause_jg_0721ce2b42,jingui,12.0,小半夏湯,can_f51682eb9f,classic_clause_uses_formula,諸嘔吐，穀不得下者，小半夏湯主之。(12),112
k3_clause_formula_644895bfe3,clause_jg_65b7438bc2,jingui,14.0,四逆湯,can_4bd7a9684a,classic_clause_uses_formula,嘔而脈弱，小便復利，身有微熱，見厥者，難治，四逆湯主之。(14),112
k3_clause_formula_4d02c83aea,clause_jg_dc4023dbf1,jingui,15.0,小柴胡湯,can_1a0df3ae93,classic_clause_uses_formula,嘔而發熱者，小柴胡湯主之。(15),112
k3_clause_formula_200608201b,clause_jg_b0161fd5fc,jingui,16.0,大半夏湯,can_ac6aa9ff6c,classic_clause_uses_formula,胃反嘔吐者，大半夏湯主之。《千金》云：治胃反不受食，食入即吐。《外臺》云：治嘔，心下痞硬者。(16),112
k3_clause_formula_c60245be6c,clause_jg_66529c4c33,jingui,17.0,大黃甘草湯,can_2b5d00f7b0,classic_clause_uses_formula,食已即吐者，大黃甘草湯主之。《外臺》方，又治吐水。(17),112
k3_clause_formula_6cc9697efb,clause_jg_257dc1d24f,jingui,18.0,茯苓澤瀉湯,can_5824cc8cfa,classic_clause_uses_formula,胃反，吐而渴欲飲水者，茯苓澤瀉湯主之。(18),112
k3_clause_formula_f95693d8db,clause_jg_1ca45c4249,jingui,19.0,文蛤湯,can_478a8d49e4,classic_clause_uses_formula,吐後，渴欲得水而貪飲者，文蛤湯主之。兼主微風、脈緊、頭痛。(19),112
k3_clause_formula_04b0806df6,clause_jg_90af7aee6b,jingui,20.0,半夏乾薑散,can_21b8a435c7,classic_clause_uses_formula,乾嘔，吐逆，吐涎沫，半夏乾薑散主之。(20),112
k3_clause_formula_828b3664a9,clause_jg_f79900b1e3,jingui,,生薑半夏湯,can_6006a2e5b2,classic_clause_uses_formula,病人胸中似喘不喘，似嘔不嘔，似噦不噦，徹心中憒憒然無奈者，生薑半夏湯主之。,112
k3_clause_formula_9feb2d527d,clause_jg_bdf89f5b78,jingui,22.0,橘皮湯,can_5a61ca3088,classic_clause_uses_formula,乾嘔、噦，若手足厥者，橘皮湯主之。(22),120
k3_clause_formula_e5de9b62b5,clause_jg_6d7671f48b,jingui,23.0,橘皮竹茹湯,can_4da66939b9,classic_clause_uses_formula,噦逆者，橘皮竹茹湯主之。(23),120
k3_clause_formula_3be74dfe3f,clause_jg_4752396fdf,jingui,2.0,奔豚湯,can_975ed4b01d,classic_clause_uses_formula,奔豚氣上衝胸，腹痛，往來寒熱，奔豚湯主之。(2),50
k3_clause_formula_5dff9938bf,clause_jg_cb898be5bd,jingui,3.0,桂枝加桂湯,can_e4355f999b,classic_clause_uses_formula,發汗後，燒鍼令其汗，鍼處被寒，核起而赤者，必發奔豚，氣從少腹上至心，灸其核上各 一壯，與桂枝加桂湯主之。(3),50
k3_clause_formula_015ba5dd60,clause_jg_f9ca91c7b3,jingui,4.0,茯苓桂枝甘草大棗湯,can_debdfbf1b5,classic_clause_uses_formula,發汗後，臍下悸者，欲作奔豚，茯苓桂枝甘草大棗湯主之。(4),50
k3_clause_formula_06a0f18b8c,clause_jg_3e4d4ff15f,jingui,1.0,桂枝湯,can_2849adeebb,classic_clause_uses_formula,師曰：婦人得平脈，陰脈小弱，其人渴，不能食，無寒熱，名妊娠，桂枝湯主之。 於法六十日當有此證；設有醫治逆者，卻一月加吐下者，則絕之。(1),132
k3_clause_formula_5e0c23f9c5,clause_jg_a47c8a6650,jingui,2.0,桂枝茯苓丸,can_357e549ae3,classic_clause_uses_formula,婦人宿有癥病，經斷未及三月，而得漏下不止，胎動在臍上者，為癥痼害。 妊娠六月動者，前三月經水利時，胎也。 下血者，後斷三月衃也。 所以血不止者，其癥不去故也，當下其癥，桂枝茯苓丸主之。(2),132
k3_clause_formula_5e65f2f4dc,clause_jg_fdc8695a10,jingui,3.0,附子湯,can_4da6dea6c5,classic_clause_uses_formula,婦人懷娠六七月，脈弦發熱，其胎愈脹，腹痛惡寒者，少腹如扇，所以然者，子臟開故也，當以 附子湯溫其臟。方未見。(3),132
k3_clause_formula_479985dfd7,clause_jg_267c2a8fba,jingui,5.0,當歸芍藥散,can_bbaa8d330a,classic_clause_uses_formula,婦人懷妊，腹中㽲痛，當歸芍藥散主之。(5),132
k3_clause_formula_ffb6b73d44,clause_jg_b2303ee11c,jingui,6.0,乾薑人參半夏丸,can_bc67e22b6b,classic_clause_uses_formula,妊娠嘔吐不止，乾薑人參半夏丸主之。(6),132
k3_clause_formula_8f27d3af72,clause_jg_4699c3cd7a,jingui,7.0,當歸貝母苦參丸,can_3d0d53539b,classic_clause_uses_formula,妊娠，小便難，飲食如故，當歸貝母苦參丸主之。(7),132
k3_clause_formula_5164f73332,clause_jg_be0fa54773,jingui,8.0,葵子茯苓散,can_47d7a863d3,classic_clause_uses_formula,妊娠有水氣，身重，小便不利，洒淅惡寒，起即頭眩，葵子茯苓散主之。(8),132
k3_clause_formula_7065f8360f,clause_jg_5931cd7583,jingui,9.0,當歸散,can_d8e4f548f9,classic_clause_uses_formula,婦人妊娠，宜常服當歸散主之。(9),132
k3_clause_formula_547bf00119,clause_jg_033e8ce64b,jingui,10.0,白朮散,can_247f1b5b99,classic_clause_uses_formula,妊娠養胎，白朮散主之。(10),132
k3_clause_formula_399702fbaf,clause_jg_2f58b0461d,jingui,2.0,小柴胡湯,can_1a0df3ae93,classic_clause_uses_formula,產婦鬱冒，其脈微弱，嘔不能食，大便反堅，但頭汗出。 所以然者，血虛而厥，厥而必冒。冒家欲解，必大汗出。 以血虛下厥，孤陽上出，故頭汗出。 所以產婦喜汗出者，亡陰血虛，陽氣獨盛，故當汗出，陰陽乃復。 大便堅，嘔不能食，小柴胡湯主之。(2),136
k3_clause_formula_fc01ef985d,clause_jg_f1a5fe47d5,jingui,3.0,大承氣湯,can_b8804ab23f,classic_clause_uses_formula,病解能食，七八日更發熱者，此為胃實，大承氣湯主之。(3),136
k3_clause_formula_22a6fe4004,clause_jg_ebef9a4c81,jingui,4.0,當歸生薑羊肉湯,can_f63dbab021,classic_clause_uses_formula,產後腹中㽲痛，當歸生薑羊肉湯主之，并治腹中寒疝，虛勞不足。(4),136
k3_clause_formula_6114e5bb0f,clause_jg_14c61aaf1e,jingui,5.0,枳實芍藥散,can_971dcfe582,classic_clause_uses_formula,產後腹痛，煩滿不得臥，枳實芍藥散主之。(5),136
k3_clause_formula_3b28ecb67b,clause_jg_7633cb1472,jingui,6.0,枳實芍藥散,can_971dcfe582,classic_clause_uses_formula,產婦腹痛、法當以枳實芍藥散，假令不愈者，此為腹中有瘀血著臍下，宜下瘀血湯主之； 亦主經水不利。(6),136
k3_clause_formula_ea0156fc88,clause_jg_7633cb1472,jingui,6.0,下瘀血湯,can_9b1ed4476b,classic_clause_uses_formula,產婦腹痛、法當以枳實芍藥散，假令不愈者，此為腹中有瘀血著臍下，宜下瘀血湯主之； 亦主經水不利。(6),136
k3_clause_formula_2e0aa4dfd5,clause_jg_702eb89687,jingui,7.0,大承氣湯,can_b8804ab23f,classic_clause_uses_formula,產後七八日，無太陽證，少腹堅痛，此惡露不盡；不大便，煩躁發熱、切脈微實，再倍發 熱，日晡時煩躁者，不食，食則譫語，至夜即愈，宜大承氣湯主之。熱在裏，結在膀胱 也。(7),136
k3_clause_formula_9711a4b8e7,clause_jg_1a1cfaab55,jingui,8.0,桂枝湯,can_2849adeebb,classic_clause_uses_formula,產後風，續之數十日不解，頭微痛，惡寒，時時有熱，心下悶，乾嘔，汗出，雖久，陽旦 證續在耳，可與陽旦湯。即桂枝湯，方見下利中。(8),136
k3_clause_formula_7ca56437d8,clause_jg_1a1cfaab55,jingui,8.0,陽旦湯,can_702fb263f3,classic_clause_uses_formula,產後風，續之數十日不解，頭微痛，惡寒，時時有熱，心下悶，乾嘔，汗出，雖久，陽旦 證續在耳，可與陽旦湯。即桂枝湯，方見下利中。(8),136
k3_clause_formula_eeff93be22,clause_jg_0995033ccf,jingui,9.0,竹葉湯,can_4dceaae8e4,classic_clause_uses_formula,產後中風，發熱，面正赤，喘而頭痛，竹葉湯主之。(9),136
k3_clause_formula_bb3102a041,clause_jg_e2efd0d601,jingui,10.0,竹皮大丸,can_08ea383c3e,classic_clause_uses_formula,婦人乳中虛，煩亂嘔逆，安中益氣，竹皮大丸主之。(10),136
k3_clause_formula_350f6bda34,clause_jg_89014957c3,jingui,11.0,白頭翁加甘草阿膠湯,can_0e1aca45b9,classic_clause_uses_formula,產後下利虛極，白頭翁加甘草阿膠湯主之。(11),136
k3_clause_formula_627673f47c,clause_jg_72580713fa,jingui,1.0,小柴胡湯,can_1a0df3ae93,classic_clause_uses_formula,婦人中風，七八日續來寒熱，發作有時，經水適斷，此為熱入血室，其血必結，故使如瘧 狀，發作有時，小柴胡湯主之。(1),142
k3_clause_formula_a8b6a5d7a4,clause_jg_e33233e058,jingui,5.0,半夏厚朴湯,can_5cbce770ff,classic_clause_uses_formula,婦人咽中如有炙臠，半夏厚朴湯主之。(5),142
k3_clause_formula_5f31f1a0c2,clause_jg_5f0513a572,jingui,6.0,甘麥大棗湯,can_9903f092e2,classic_clause_uses_formula,婦人臟躁，喜悲傷欲哭，象如神靈所作，數欠伸，甘麥大棗湯主之。(6),142
k3_clause_formula_b24560b3e4,clause_jg_217d97d770,jingui,7.0,小青龍湯,can_0a5b7e34af,classic_clause_uses_formula,婦人吐涎沫，醫反下之，心下即痞，當先治其吐涎沫，小青龍湯主之；涎沫止，乃治痞， 瀉心湯主之。(7),142
k3_clause_formula_36de4ecf74,clause_jg_217d97d770,jingui,7.0,瀉心湯,can_1a91e01bb6,classic_clause_uses_formula,婦人吐涎沫，醫反下之，心下即痞，當先治其吐涎沫，小青龍湯主之；涎沫止，乃治痞， 瀉心湯主之。(7),142
k3_clause_formula_c3ba2d452a,clause_jg_2c4f186727,jingui,9.0,溫經湯,can_79dad92102,classic_clause_uses_formula,問曰：婦人年五十所，病下利數十日不止，暮即發熱，少腹裏急，腹滿，手掌煩熱，唇口 乾燥，何也？ 師曰：此病屬帶下，何以故？曾經半產，瘀血在少腹不去。 何以知之？其證唇口乾燥，故知之。當以溫經湯主之。(9),142
k3_clause_formula_b47619be93,clause_jg_4130d4ec07,jingui,11.0,旋覆花湯,can_6a20369ddb,classic_clause_uses_formula,寸口脈弦而大，弦則為減，大則為芤，減則為寒，芤則為虛，寒虛相搏，此名曰革，婦人 則半產漏下，旋覆花湯主之。(11),142
k3_clause_formula_606900b332,clause_jg_3e810aea58,jingui,10.0,土瓜根散,can_2e669b4e32,classic_clause_uses_formula,帶下經水不利，少腹滿痛，經一月再見者，土瓜根散主之。(10),143
k3_clause_formula_3fd765d9b7,clause_jg_619f8410aa,jingui,13.0,大黃甘遂湯,can_2f623de6a6,classic_clause_uses_formula,婦人少腹滿如敦狀，小便微難而不渴，生後者，此為水與血俱結血室也，大黃甘遂湯主 之。(13),143
k3_clause_formula_a449b7f907,clause_jg_743f5e1cd3,jingui,14.0,抵當湯,can_65e2755719,classic_clause_uses_formula,婦人經水不利下，抵當湯主之。亦治男子膀胱滿急有瘀血者。(14),143
k3_clause_formula_447a4e644c,clause_jg_984ef17fca,jingui,15.0,礬石丸,can_cb70c47616,classic_clause_uses_formula,婦人經水閉不利，臟堅癖不止，中有乾血，下白物，礬石丸主之。(15),143
k3_clause_formula_4ecd488964,clause_jg_a5c15ca50d,jingui,16.0,紅藍花酒,can_a4b1acc0e9,classic_clause_uses_formula,婦人六十二種風，及腹中血氣刺痛，紅藍花酒主之。(16),143
k3_clause_formula_225b5bc87a,clause_jg_7d39741717,jingui,17.0,當歸芍藥散,can_bbaa8d330a,classic_clause_uses_formula,婦人腹中諸疾痛，當歸芍藥散主之。(17),143
k3_clause_formula_957f3e1a9c,clause_jg_f061ac0e73,jingui,18.0,小建中湯,can_17b038dbde,classic_clause_uses_formula,婦人腹中痛，小建中湯主之。(18),143
k3_clause_formula_8a5eb652da,clause_jg_da0d70562b,jingui,20.0,蛇床子散,can_dc102cdb88,classic_clause_uses_formula,蛇床子散方，溫陰中坐藥。(20),143
k3_clause_formula_4b1f60339d,clause_jg_6028f92c7f,jingui,21.0,狼牙湯,can_ab0e6ee7ba,classic_clause_uses_formula,少陰脈滑而數者，陰中即生瘡，陰中蝕瘡爛者，狼牙湯洗之。(21),143
k3_clause_formula_b47533ba65,clause_jg_0c5678ebd9,jingui,21.0,大承氣湯,can_b8804ab23f,classic_clause_uses_formula,問曰：人病有宿食，何以別之？ 師曰：寸口脈浮而大，按之反澀，尺中亦微而澀，故知有宿食，大承氣湯主之。(21),64
k3_clause_formula_a3777d7381,clause_jg_2f24def3bb,jingui,21.0,大承氣湯,can_b8804ab23f,classic_clause_uses_formula,宿食在下：寸口脈浮而大，按之反澀，尺中亦微而澀，故知有宿食，大承氣湯主之。(21),64
k3_clause_formula_61ef84691b,clause_jg_57a6c01ef2,jingui,22.0,大承氣湯,can_b8804ab23f,classic_clause_uses_formula,脈數而滑者，實也，此有宿食，下之愈，宜大承氣湯。(22),64
k3_clause_formula_e7b6bfae22,clause_jg_bd1a546b74,jingui,23.0,大承氣湯,can_b8804ab23f,classic_clause_uses_formula,下利不欲食者，有宿食也，當下之，宜大承氣湯。(23),64
k3_clause_formula_f08e5a8547,clause_jg_102095be24,jingui,24.0,瓜蒂散,can_466f3263b0,classic_clause_uses_formula,宿食在上：宿食在上脘，當吐之，宜瓜蒂散。(24),64
k3_clause_formula_67a560a761,clause_jg_9bc61a7fa8,jingui,17.0,大烏頭煎,can_669eac28c6,classic_clause_uses_formula,寒疝繞臍痛，若發則白汗出，手足厥冷，其脈沉緊者，大烏頭煎主之。(17),62
k3_clause_formula_1d3d761dce,clause_jg_e0f8084a79,jingui,18.0,當歸生薑羊肉湯,can_f63dbab021,classic_clause_uses_formula,寒疝腹中痛，及脅痛裏急者，當歸生薑羊肉湯主之。(18),62
k3_clause_formula_2e6cc6c0d1,clause_jg_1ffa29989e,jingui,19.0,烏頭桂枝湯,can_44bdb5ddeb,classic_clause_uses_formula,寒疝腹中痛，逆冷，手足不仁，若身疼痛，灸刺諸藥不能治，抵當烏頭桂枝湯主之。(19),62
k3_clause_formula_feeae77eb3,clause_jg_85b8d31062,jingui,26.0,白虎加人參湯,can_29712407d7,classic_clause_uses_formula,太陽中熱者，暍是也。汗出惡寒，身熱而渴，白虎加人參湯主之。(26),19
k3_clause_formula_76f576a6db,clause_jg_0c238afcc1,jingui,27.0,一物瓜蒂湯,can_5d8516f981,classic_clause_uses_formula,太陽中暍，身熱疼重，而脈微弱，此以夏月傷冷水，水行皮中所致也，一物瓜蒂湯主之。(27),19
k3_clause_formula_b2c649c083,clause_jg_c6eb3009e1,jingui,8.0,桂枝芍藥知母湯,can_559952c25a,classic_clause_uses_formula,諸肢節疼痛，身體魁羸，腳腫如脫， 頭眩短氣，溫溫欲吐，桂枝芍藥知母湯主之。(8),31
k3_clause_formula_866a6fb739,clause_jg_8f72a18925,jingui,10.0,烏頭湯,can_a247747e8d,classic_clause_uses_formula,病歷節不可屈伸，疼痛，烏頭湯主之。(10),31
k3_clause_formula_7437674031,clause_jg_e6bd8568e7,jingui,22.0,防己黃耆湯,can_a26ad2322b,classic_clause_uses_formula,風水，脈浮身重，汗出惡風者，防己黃耆湯主之。腹痛加芍藥。(22),89
k3_clause_formula_cfc5dd087e,clause_jg_e59ad647df,jingui,23.0,越婢湯,can_1456bfc3e0,classic_clause_uses_formula,風水惡風，一身悉腫，脈浮不渴，續自汗出，無大熱，越婢湯主之。(23),89
k3_clause_formula_cf467985a8,clause_jg_494ab20d94,jingui,26.0,麻黃附子湯,can_1f90735bbe,classic_clause_uses_formula,水之為病，其脈沉小，屬少陰；浮者為風，無水虛脹者，為氣。水，發其汗即已。 脈沉者宜麻黃附子湯；浮者宜杏子湯。(26),89
k3_clause_formula_6e460e5c21,clause_jg_494ab20d94,jingui,26.0,杏子湯,can_c175bb9eb9,classic_clause_uses_formula,水之為病，其脈沉小，屬少陰；浮者為風，無水虛脹者，為氣。水，發其汗即已。 脈沉者宜麻黃附子湯；浮者宜杏子湯。(26),89
k3_clause_formula_f8a0646425,clause_jg_56e1853884,jingui,5.0,越婢加朮湯,can_479e52b534,classic_clause_uses_formula,裏水者，一身面目黃腫，其脈沉，小便不利，故令病水。假如小便自利，此亡津液，故 令渴也。越婢加朮湯主之。(5),90
k3_clause_formula_2974c08bba,clause_jg_ba6ab828b3,jingui,24.0,防己茯苓湯,can_74f9809d8c,classic_clause_uses_formula,皮水為病，四肢腫，水氣在皮膚中，四肢聶聶動者，防己茯苓湯主之。(24),90
k3_clause_formula_f954412105,clause_jg_918a775d1a,jingui,25.0,甘草麻黃湯,can_c6991f8c43,classic_clause_uses_formula,裏水，越婢加朮湯主之；甘草麻黃湯亦主之。(25),90
k3_clause_formula_dced4d519b,clause_jg_918a775d1a,jingui,25.0,越婢加朮湯,can_479e52b534,classic_clause_uses_formula,裏水，越婢加朮湯主之；甘草麻黃湯亦主之。(25),90
k3_clause_formula_63f28720ec,clause_jg_b6e5382064,jingui,27.0,蒲灰散,can_8a501b666d,classic_clause_uses_formula,厥而皮水者，蒲灰散主之。(27),90
k3_clause_formula_f50f4801d0,clause_jg_701dd9f68c,jingui,29.0,桂枝加黃耆湯,can_f6f14b7644,classic_clause_uses_formula,黃汗之病，兩脛自冷；假令發熱，此屬歷節。食已汗出，又身常暮盜汗出者，此勞氣也。 若汗出已反發熱者，久久其身必甲錯；發熱不止者，必生惡瘡。 若身重，汗出已輒輕者，久久必身瞤，瞤即胸中痛，又從腰以上必汗出，下無汗，腰髖弛 痛，如有物在皮中狀，劇者不能食，身疼重，煩躁，小便不利，此為黃汗，桂枝加黃耆湯 主之。(29),90
k3_clause_formula_1998c86dfe,clause_jg_4d7c6e297c,jingui,31.0,附子湯,can_4da6dea6c5,classic_clause_uses_formula,氣分，心下堅，大如盤，邊如旋杯，水飲所作，桂枝去芍藥加麻辛附子湯主之。(31),90
k3_clause_formula_5db37a8f3a,clause_jg_fe9b49c232,jingui,32.0,枳朮湯,can_9d6d527d5a,classic_clause_uses_formula,心下堅，大如盤，邊如旋盤，水飲所作，枳朮湯主之。(32),90
k3_clause_formula_2df47ff61a,clause_jg_6b3f6978c6,jingui,4.0,五苓散,can_4ec3299305,classic_clause_uses_formula,水熱互結 脈浮，小便不利，微熱消渴者，宜利小便發汗，五苓散主之。(4),83
k3_clause_formula_9c39b0c83f,clause_jg_3a12f448ba,jingui,5.0,五苓散,can_4ec3299305,classic_clause_uses_formula,渴欲飲水，水入則吐者，名曰水逆，五苓散主之。(5),83
k3_clause_formula_49696c23c9,clause_jg_e251b80885,jingui,6.0,文蛤散,can_545af3d074,classic_clause_uses_formula,渴欲飲水不止者，文蛤散主之。(6),83
k3_clause_formula_80209ec8fb,clause_jg_1e830cb71c,jingui,10.0,栝蔞瞿麥丸,can_4e401dc622,classic_clause_uses_formula,水氣內停 小便不利者，有水氣，其人若渴，栝蔞瞿麥丸主之。(10),83
k3_clause_formula_12cbf283a1,clause_jg_d537bc5b40,jingui,11.0,滑石白魚散,can_b88121df22,classic_clause_uses_formula,小便不利，蒲灰散主之，滑石白魚散、茯苓戎鹽湯并主之。(11),83
k3_clause_formula_e4339f4842,clause_jg_d537bc5b40,jingui,11.0,茯苓戎鹽湯,can_ab6fb2f92f,classic_clause_uses_formula,小便不利，蒲灰散主之，滑石白魚散、茯苓戎鹽湯并主之。(11),83
k3_clause_formula_8d0bb7f24e,clause_jg_d537bc5b40,jingui,11.0,蒲灰散,can_8a501b666d,classic_clause_uses_formula,小便不利，蒲灰散主之，滑石白魚散、茯苓戎鹽湯并主之。(11),83
k3_clause_formula_cd3f8c3922,clause_jg_b88386cdc3,jingui,12.0,白虎加人參湯,can_29712407d7,classic_clause_uses_formula,渴欲飲水，口乾舌燥者，白虎加人參湯主之。(12),83
k3_clause_formula_7a0914c4f7,clause_jg_0795825c30,jingui,13.0,豬苓湯,can_615ab27c27,classic_clause_uses_formula,脈浮發熱，渴欲飲水，小便不利者，豬苓湯主之。(13),83
k3_clause_formula_83321d9228,clause_jg_c8feac5c8c,jingui,20.0,麻黃加朮湯,can_30a0c009b1,classic_clause_uses_formula,寒濕在表：濕家身煩疼，可與麻黃加朮湯發其汗為宜，慎不可以火攻之。(20),15
k3_clause_formula_0fcef7ecf8,clause_jg_6a43c6686c,jingui,21.0,麻黃杏仁薏苡甘草湯,can_b272d7ec13,classic_clause_uses_formula,風濕在表：病者一身盡疼，發熱，日晡所劇者，名風濕。此病傷於汗出當風 ，或久傷取冷所致也。可與麻黃杏仁薏苡甘草湯。(21),15
k3_clause_formula_8a027ec2e5,clause_jg_67e20d8e54,jingui,22.0,防己黃耆湯,can_a26ad2322b,classic_clause_uses_formula,風濕表虛：風濕，脈浮身重，汗出惡風者，防己黃耆湯主之。(22),15
