state_row_id,book_id,topic_or_disease,topic_canonical_id,stage,state_name,state_canonical_id,symptoms_text,formulas,formula_canonical_ids,treatment_method,source_ref_id,source_pdf,evidence_text,parse_method,confidence,review_status
wb_state_822888f4e6,wenbing,春溫,can_70ad62f0a0,血分,熱入血分,,灼熱躁擾、昏狂譫妄、斑疹紫黑、吐衄便血、舌深絳,犀角地黃湯,can_4014424d11,,src_patch_wenbing_state_b3bf16c841,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,春溫｜熱入血分；症狀：灼熱躁擾、昏狂譫妄、斑疹紫黑、吐衄便血、舌深絳；方劑：犀角地黃湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_4accfeaaca,wenbing,春溫,can_70ad62f0a0,衛氣/少陽,熱在少陽兼表,,發熱惡寒、頭痛少汗、口苦而渴、心煩、小便短赤、舌紅苔黃、脈弦數,蔥豉桔梗湯；黃芩湯,can_587db51ddb；can_ff9f5b461f,,src_patch_wenbing_state_34593bf27d,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,春溫｜熱在少陽兼表；症狀：發熱惡寒、頭痛少汗、口苦而渴、心煩、小便短赤、舌紅苔黃、脈弦數；方劑：蔥豉桔梗湯、黃芩湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_d04367917a,wenbing,春溫,can_70ad62f0a0,氣分,熱在少陽膽經,,發熱不惡寒、口苦而渴、心煩、小溲短赤、舌紅苔黃、脈弦數,黃芩湯,can_ff9f5b461f,,src_patch_wenbing_state_95f3923614,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,春溫｜熱在少陽膽經；症狀：發熱不惡寒、口苦而渴、心煩、小溲短赤、舌紅苔黃、脈弦數；方劑：黃芩湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_b244372ee1,wenbing,春溫,can_70ad62f0a0,氣分,熱灼胸膈,,身熱不已、煩躁不安、胸膈灼熱如焚、唇焦咽燥、口渴或便秘、舌紅苔黃,涼膈散,can_8aef833bbc,,src_patch_wenbing_state_a24ed2fd17,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,春溫｜熱灼胸膈；症狀：身熱不已、煩躁不安、胸膈灼熱如焚、唇焦咽燥、口渴或便秘、舌紅苔黃；方劑：涼膈散。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_19d3f34c5d,wenbing,春溫,can_70ad62f0a0,氣分,熱熾津傷,,壯熱、面赤、汗多、心煩、渴喜涼飲、舌紅苔黃燥、脈洪大,白虎湯,can_2ff0ddd4f5,,src_patch_wenbing_state_9fcd0424b8,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,春溫｜熱熾津傷；症狀：壯熱、面赤、汗多、心煩、渴喜涼飲、舌紅苔黃燥、脈洪大；方劑：白虎湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_0d0e70f5c0,wenbing,春溫,can_70ad62f0a0,氣分/血分,熱盛動風,can_658da0d5f8,高熱、煩渴、手足躁擾、狂亂、神昏痙厥、頸項強直、角弓反張、舌紅苔黃、脈弦數,羚角鉤藤湯,can_6b81f6e9f3,,src_patch_wenbing_state_8646496327,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,春溫｜熱盛動風；症狀：高熱、煩渴、手足躁擾、狂亂、神昏痙厥、頸項強直、角弓反張、舌紅苔黃、脈弦數；方劑：羚角鉤藤湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_a947e1c6d3,wenbing,春溫,can_70ad62f0a0,氣分,熱結腸腑,,身熱、腹滿、便秘、口乾唇裂、舌苔焦燥、脈沉細,增液承氣湯；新加黃龍湯；導赤承氣湯,can_6fbd1b243a；can_49d38c2f30；can_545cfc2c10,,src_patch_wenbing_state_d57505a66d,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,春溫｜熱結腸腑；症狀：身熱、腹滿、便秘、口乾唇裂、舌苔焦燥、脈沉細；方劑：增液承氣湯、新加黃龍湯、導赤承氣湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_0a4c88590c,wenbing,春溫,can_70ad62f0a0,,熱結腸腑,,身熱、腹滿、便秘、苔焦黑、口乾咽燥、唇裂舌焦、倦怠少氣、撮空摸床、目不了了、脈沉弱或沉細,增液承氣湯；新加黃龍湯,can_6fbd1b243a；can_49d38c2f30,,src_patch_wenbing_state_cde21f07d9,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,春溫｜熱結腸腑；症狀：身熱、腹滿、便秘、苔焦黑、口乾咽燥、唇裂舌焦、倦怠少氣、撮空摸床、目不了了、脈沉弱或沉細；方劑：增液承氣湯、新加黃龍湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_52759aba34,wenbing,春溫,can_70ad62f0a0,血分,熱與血結,,少腹疼痛、小便自利、神志狂亂、脈沉實,桃仁承氣湯,can_82231876d0,,src_patch_wenbing_state_1632be0b6c,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,春溫｜熱與血結；症狀：少腹疼痛、小便自利、神志狂亂、脈沉實；方劑：桃仁承氣湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_f691a3ba88,wenbing,春溫,can_70ad62f0a0,後期/陰分,邪留陰分,,夜熱早涼、熱退無汗、舌紅少苔、脈細數,青蒿鱉甲湯,can_2b50e82428,,src_patch_wenbing_state_e15ccb4319,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,春溫｜邪留陰分；症狀：夜熱早涼、熱退無汗、舌紅少苔、脈細數；方劑：青蒿鱉甲湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_3efa205ee8,wenbing,春溫,can_70ad62f0a0,下焦,陰虛動風,,手足蠕動、瘛瘲、心中澹澹大動、神倦脈虛、舌絳苔少、時時欲脫,三甲復脈湯；大定風珠,can_07bb35db61；can_d8f57a6b89,,src_patch_wenbing_state_1fa69ab5f8,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,春溫｜陰虛動風；症狀：手足蠕動、瘛瘲、心中澹澹大動、神倦脈虛、舌絳苔少、時時欲脫；方劑：三甲復脈湯、大定風珠。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_4d335d2bf7,wenbing,春溫,can_70ad62f0a0,氣分,陽明腑實小腸熱結,,身熱、煩渴、腹滿痛拒按、小便短赤而痛、苔黃燥,導赤承氣湯,can_545cfc2c10,,src_patch_wenbing_state_431a9701d2,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,春溫｜陽明腑實小腸熱結；症狀：身熱、煩渴、腹滿痛拒按、小便短赤而痛、苔黃燥；方劑：導赤承氣湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_f3d05d8f96,wenbing,暑溫,can_99809ad8f7,氣分,冒暑,,身熱口渴、咳逆無痰、胸悶脅痛、脈濡滑而數、兩寸有力、頭暈、寒熱汗出、苔薄白微膩,雷氏清宣金臟法；雷氏清涼滌暑法,can_fa55a371b3；can_516efe0dcf,,src_patch_wenbing_state_e5f1e90098,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,暑溫｜冒暑；症狀：身熱口渴、咳逆無痰、胸悶脅痛、脈濡滑而數、兩寸有力、頭暈、寒熱汗出、苔薄白微膩；方劑：雷氏清宣金臟法、雷氏清涼滌暑法。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_6a49e2cab2,wenbing,暑溫,can_99809ad8f7,營陰,暑傷心腎,,心熱煩躁、消渴不已、舌絳、苔黃燥,連梅湯,can_12a1897545,,src_patch_wenbing_state_892d1f23b2,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,暑溫｜暑傷心腎；症狀：心熱煩躁、消渴不已、舌絳、苔黃燥；方劑：連梅湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_e6761628d3,wenbing,暑溫,can_99809ad8f7,氣分,暑傷津氣,,身熱息高、心煩溺黃、口渴自汗、肢倦神疲、脈虛無力,王氏清暑益氣湯,can_1a473ed469,,src_patch_wenbing_state_ea84ce10de,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,暑溫｜暑傷津氣；症狀：身熱息高、心煩溺黃、口渴自汗、肢倦神疲、脈虛無力；方劑：王氏清暑益氣湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_3469951069,wenbing,暑溫,can_99809ad8f7,營分,暑入心營,,脈虛舌赤、心煩口乾、夜寐不安、時有譫語,清營湯；安宮牛黃丸,can_d46a775b19；can_a600d0b107,,src_patch_wenbing_state_7e1bcbda53,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,暑溫｜暑入心營；症狀：脈虛舌赤、心煩口乾、夜寐不安、時有譫語；方劑：清營湯、安宮牛黃丸。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_dcce07f104,wenbing,暑溫,can_99809ad8f7,血分,暑入血分,,灼熱煩躁、斑色紫黑、舌絳苔焦、神昏妄笑,神犀丹；安宮牛黃丸,can_192a4d6a0f；can_a600d0b107,,src_patch_wenbing_state_d45df7ffb7,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,暑溫｜暑入血分；症狀：灼熱煩躁、斑色紫黑、舌絳苔焦、神昏妄笑；方劑：神犀丹、安宮牛黃丸。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_9bffa361f4,wenbing,暑溫,can_99809ad8f7,氣分,暑入陽明胃,,惡熱心煩、頭痛且暈、面赤氣粗、口燥渴飲、汗多、背微惡寒、脈洪大而芤,白虎湯；白虎加人參湯,can_2ff0ddd4f5；can_29712407d7,,src_patch_wenbing_state_4ffe38fc80,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,暑溫｜暑入陽明胃；症狀：惡熱心煩、頭痛且暈、面赤氣粗、口燥渴飲、汗多、背微惡寒、脈洪大而芤；方劑：白虎湯、白虎加人參湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_ff4b951874,wenbing,暑溫,can_99809ad8f7,衛氣,暑兼寒濕,,頭痛身熱、惡寒無汗、身形拘急、脘悶心煩、舌苔薄膩,新加香薷飲；黃連香薷飲,can_3ef5308d66；can_b8ca5cba56,,src_patch_wenbing_state_1522dd5e49,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,暑溫｜暑兼寒濕；症狀：頭痛身熱、惡寒無汗、身形拘急、脘悶心煩、舌苔薄膩；方劑：新加香薷飲、黃連香薷飲。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_688bd73d82,wenbing,暑溫,can_99809ad8f7,營分/心包,暑厥,can_19d2e80e63,猝然暈倒、昏不知人、身熱肢厥、氣粗如喘、不聲不語、牙關微緊或口開、脈洪大或滑數,安宮牛黃丸；紫雪丹,can_a600d0b107；can_2492d0d413,,src_patch_wenbing_state_9291ff2d70,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,暑溫｜暑厥；症狀：猝然暈倒、昏不知人、身熱肢厥、氣粗如喘、不聲不語、牙關微緊或口開、脈洪大或滑數；方劑：安宮牛黃丸、紫雪丹。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_dfbb4ba78e,wenbing,暑溫,can_99809ad8f7,氣分,暑濕困阻中焦,,壯熱煩渴、汗多溺短、脘痞身重、脈洪大,白虎加蒼朮湯,can_f68fa41089,,src_patch_wenbing_state_038abcf987,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,暑溫｜暑濕困阻中焦；症狀：壯熱煩渴、汗多溺短、脘痞身重、脈洪大；方劑：白虎加蒼朮湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_8f56c5670c,wenbing,暑溫,can_99809ad8f7,氣分,暑濕瀰漫三焦,,身熱面赤耳聾、胸悶脘痞、下利稀水、小便短赤、咳痰帶血、不甚渴飲、舌紅赤、苔黃滑,三石湯,can_30bcd1dd93,,src_patch_wenbing_state_fa0ce3a890,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,暑溫｜暑濕瀰漫三焦；症狀：身熱面赤耳聾、胸悶脘痞、下利稀水、小便短赤、咳痰帶血、不甚渴飲、舌紅赤、苔黃滑；方劑：三石湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_de37ccd684,wenbing,暑溫,can_99809ad8f7,氣血,暑瘵,,驟然吐血、衄血、頭目不清、煩熱口渴、咳嗽氣喘、脈浮取洪中取空沉取復有,雷氏清宣金臟法；雷氏卻暑調元法；清絡飲加杏仁苡仁滑石湯,can_fa55a371b3；can_59b36e35a1；can_21c896168c,,src_patch_wenbing_state_a83f699d22,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,暑溫｜暑瘵；症狀：驟然吐血、衄血、頭目不清、煩熱口渴、咳嗽氣喘、脈浮取洪中取空沉取復有；方劑：雷氏清宣金臟法、雷氏卻暑調元法、清絡飲加杏仁苡仁滑石湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_ae20cf9937,wenbing,暑溫,can_99809ad8f7,氣分/閉竅,暑穢,,頭痛而脹、胸脘痞悶、煩躁嘔噁、膚熱有汗、神昏耳聾,雷氏芳香化濁法；通關散；玉樞丹,can_3b9e21db1a；can_31bdef10b4；can_3b44f0e239,,src_patch_wenbing_state_f68a28ce4c,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,暑溫｜暑穢；症狀：頭痛而脹、胸脘痞悶、煩躁嘔噁、膚熱有汗、神昏耳聾；方劑：雷氏芳香化濁法、通關散、玉樞丹。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_b5b92569cd,wenbing,暑溫,can_99809ad8f7,血分,暑風,,身熱、四肢抽搐、角弓反張、牙關緊閉、神迷不清、脈弦數,羚角鉤藤湯；清營湯,can_6b81f6e9f3；can_d46a775b19,,src_patch_wenbing_state_f9d15f4bf5,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,暑溫｜暑風；症狀：身熱、四肢抽搐、角弓反張、牙關緊閉、神迷不清、脈弦數；方劑：羚角鉤藤湯、清營湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_6c1ff6d176,wenbing,暑溫,can_99809ad8f7,氣陰兩虛,津氣欲脫,,身熱已退、汗出不止、喘渴欲脫、脈散大,生脈散,can_0c7a0c0c52,,src_patch_wenbing_state_babf0e2af3,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,暑溫｜津氣欲脫；症狀：身熱已退、汗出不止、喘渴欲脫、脈散大；方劑：生脈散。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_b065a85f92,wenbing,溫毒,can_8f3946d5dc,衛氣,大頭瘟,,憎寒發熱、頭面焮赤腫痛、壯熱煩躁、口渴引飲、咽喉疼痛,普濟消毒飲,can_32448c9b4b,,src_patch_wenbing_state_6660063741,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,溫毒｜大頭瘟；症狀：憎寒發熱、頭面焮赤腫痛、壯熱煩躁、口渴引飲、咽喉疼痛；方劑：普濟消毒飲。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_ec6d47c0fa,wenbing,溫疫,can_c5fa5c55b5,氣血,暑燥疫,,發病急劇、病情險惡、熱毒充斥氣血、斑疹、高熱,清瘟敗毒飲,can_3a4e8f6d36,,src_patch_wenbing_state_0fca5cd8b5,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,溫疫｜暑燥疫；症狀：發病急劇、病情險惡、熱毒充斥氣血、斑疹、高熱；方劑：清瘟敗毒飲。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_58eb31f436,wenbing,溫疫,can_c5fa5c55b5,氣分/膜原,濕熱疫,,發病急劇、強烈傳染性、寒熱往來、穢濁鬱閉膜原,達原飲,can_1fe720a5ed,,src_patch_wenbing_state_12ecc266f0,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,溫疫｜濕熱疫；症狀：發病急劇、強烈傳染性、寒熱往來、穢濁鬱閉膜原；方劑：達原飲。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_d932fbcc99,wenbing,濕溫,can_51e662c874,氣分,三焦升降失司,,脘腹脹滿、大便不爽或溏泄、身或重痛、舌白滑或微黃、脈濡緩或模糊,一加減正氣散；二加減正氣散；三加減正氣散；四加減正氣散；五加減正氣散,can_44a3027a00；can_b35a4c8c82；can_029d5f9635；can_af8f1226d9；can_09bb91e228,,src_patch_wenbing_state_5944882a3c,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,濕溫｜三焦升降失司；症狀：脘腹脹滿、大便不爽或溏泄、身或重痛、舌白滑或微黃、脈濡緩或模糊；方劑：一加減正氣散、二加減正氣散、三加減正氣散、四加減正氣散、五加減正氣散。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_b4c9ea2b90,wenbing,濕溫,can_51e662c874,脫證,下血過多氣虛欲脫,,大便出血不止、顏面蒼白、汗出肢冷、舌淡無華、脈微細,獨參湯；黃土湯,can_6904c3c22c；can_d21b4c22dd,,src_patch_wenbing_state_6b9b0e4c1e,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,濕溫｜下血過多氣虛欲脫；症狀：大便出血不止、顏面蒼白、汗出肢冷、舌淡無華、脈微細；方劑：獨參湯、黃土湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_d796d186e1,wenbing,濕溫,can_51e662c874,濕邪寒化,濕勝陽微,,身冷、汗泄、胸痞、口渴、苔白膩、舌淡滑、脈沉細,薛氏扶陽逐濕湯；真武湯,can_5652b116cf；can_c343468943,,src_patch_wenbing_state_1aecbb05b3,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,濕溫｜濕勝陽微；症狀：身冷、汗泄、胸痞、口渴、苔白膩、舌淡滑、脈沉細；方劑：薛氏扶陽逐濕湯、真武湯。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_19c500a54f,wenbing,濕溫,can_51e662c874,氣分,濕困中焦,,身熱不揚、脘痞腹脹、噁心欲吐、口不渴或渴喜熱飲、便溏、小便混濁、苔白膩、脈濡緩,雷氏芳香化濁法,can_3b9e21db1a,,src_patch_wenbing_state_488e18de6b,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,濕溫｜濕困中焦；症狀：身熱不揚、脘痞腹脹、噁心欲吐、口不渴或渴喜熱飲、便溏、小便混濁、苔白膩、脈濡緩；方劑：雷氏芳香化濁法。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_f92e31372e,wenbing,濕溫,can_51e662c874,濕邪寒化,濕困脾陽,,脘腹脹滿、大便不爽或溏瀉、食少無味、苔白膩或白膩而滑、脈緩,四加減正氣散；五加減正氣散,can_af8f1226d9；can_09bb91e228,,src_patch_wenbing_state_37cb1bcea5,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,濕溫｜濕困脾陽；症狀：脘腹脹滿、大便不爽或溏瀉、食少無味、苔白膩或白膩而滑、脈緩；方劑：四加減正氣散、五加減正氣散。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_399ea81415,wenbing,濕溫,can_51e662c874,氣分,濕熱中阻,can_6201394b37,發熱汗出不解、口渴不欲多飲、脘痞嘔噁、心中煩悶、便溏色黃、小便短赤、苔黃膩、脈濡數,王氏連朴飲,can_1efb2a8734,,src_patch_wenbing_state_116da0243b,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,濕溫｜濕熱中阻；症狀：發熱汗出不解、口渴不欲多飲、脘痞嘔噁、心中煩悶、便溏色黃、小便短赤、苔黃膩、脈濡數；方劑：王氏連朴飲。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
wb_state_10cebd094c,wenbing,濕溫,can_51e662c874,營分,濕熱化燥入於心包,,身熱不退、神昏少有清醒、譫語、昏憒不語、舌蹇肢厥、舌質紅絳、苔薄黃少津,加減清宮湯；紫雪丹；至寶丹,can_ab6baffef5；can_2492d0d413；can_c74df694b8,,src_patch_wenbing_state_96869b9a36,2_1_3_臨床一-溫病學分章精要筆記(103-1_109-2).pdf,濕溫｜濕熱化燥入於心包；症狀：身熱不退、神昏少有清醒、譫語、昏憒不語、舌蹇肢厥、舌質紅絳、苔薄黃少津；方劑：加減清宮湯、紫雪丹、至寶丹。,phaseK1_structured_state_crosswalk_pdf_primary,high_seed_pdf_traceable,usable
