clause_master_id,book_id,book_name,chapter_title,topic_name,section_title,clause_no,clause_type,title,original_text,linked_formulas,linked_formula_ids,linked_symptoms,source_pdf_pages,source_pdf,source_priority,parse_method,review_status,evidence_text
clause_jg_6d269d174f,jingui,金匱要略,下痢,下痢,下痢原文泄瀉虛寒性｜(36),34.0,原文,下痢原文泄瀉虛寒性｜(36),下利，脈沉而遲，其人面少赤，身有微熱，下利清穀者，必鬱冒，汗出而解，病人必 微熱。所以然者，其面戴陽，下虛故也。(34),,,所以然者；身有微熱；下利清穀；虛故；脈沉；下利；微熱；汗出,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,"下利，脈沉而遲，其人面少赤，身有微熱，下利清穀者，必鬱冒，汗出而解，病人必
微熱。所以然者，其面戴陽，下虛故也。(34)"
clause_jg_540899fea0,jingui,金匱要略,下痢,下痢,預後診斷｜陽氣衰,35.0,預後診斷,預後診斷｜陽氣衰,下利後脈絕，手足厥冷，晬時脈還，手足溫者生，脈不還者死。(35),,,手足厥冷；脈不還；下利,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,下利後脈絕，手足厥冷，晬時脈還，手足溫者生，脈不還者死。(35)
clause_jg_c9be4800a5,jingui,金匱要略,下痢,下痢,下痢原文泄瀉虛寒性｜(36)｜大承氣湯證,37.0,原文,下痢原文泄瀉虛寒性｜(36)｜大承氣湯證,下利，三部脈皆平，按之心下堅者，急下之，宜大承氣湯。(37),大承氣湯,can_b8804ab23f,三部脈皆平；急下之；心下堅；下利；按之,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,下利，三部脈皆平，按之心下堅者，急下之，宜大承氣湯。(37)
clause_jg_e2d149f051,jingui,金匱要略,下痢,下痢,下痢原文泄瀉虛寒性｜(36)｜大承氣湯證,38.0,原文,下痢原文泄瀉虛寒性｜(36)｜大承氣湯證,下利脈遲而滑者，實也，利未欲止，急下之，宜大承氣湯。(38),大承氣湯,can_b8804ab23f,下利脈遲而滑者；急下之,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,下利脈遲而滑者，實也，利未欲止，急下之，宜大承氣湯。(38)
clause_jg_aad88ccc2f,jingui,金匱要略,下痢,下痢,下痢原文泄瀉虛寒性｜(36)｜大承氣湯證,39.0,原文,下痢原文泄瀉虛寒性｜(36)｜大承氣湯證,下利脈反滑者，當有所去，下乃愈，宜大承氣湯。(39),大承氣湯,can_b8804ab23f,下利脈反滑者,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,下利脈反滑者，當有所去，下乃愈，宜大承氣湯。(39)
clause_jg_602ab7b6fb,jingui,金匱要略,下痢,下痢,下痢原文泄瀉虛寒性｜(36)｜痢疾熱痢,40.0,原文,下痢原文泄瀉虛寒性｜(36)｜痢疾熱痢,下利已差，至其年月日時復發者，以病不盡故也。當下之，宜大承氣湯。(40),大承氣湯,can_b8804ab23f,以病不盡故也；下利已差,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,下利已差，至其年月日時復發者，以病不盡故也。當下之，宜大承氣湯。(40)
clause_jg_cdced7aed6,jingui,金匱要略,下痢,下痢,下痢原文泄瀉虛寒性｜(36)｜小承氣湯證,41.0,原文,下痢原文泄瀉虛寒性｜(36)｜小承氣湯證,下利譫語者，有燥屎也，小承氣湯主之。(41),小承氣湯,can_fac67569c9,下利譫語者,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,下利譫語者，有燥屎也，小承氣湯主之。(41)
clause_jg_1f83c7c085,jingui,金匱要略,下痢,下痢,下痢原文泄瀉虛寒性｜(36)｜虛寒痢,42.0,原文,下痢原文泄瀉虛寒性｜(36)｜虛寒痢,下利便膿血者、桃花湯主之。(42),桃花湯,can_4f746eced5,下利,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,下利便膿血者、桃花湯主之。(42)
clause_jg_7f6f5375aa,jingui,金匱要略,下痢,下痢,下痢原文泄瀉虛寒性｜(36)｜痢疾熱痢,43.0,原文,下痢原文泄瀉虛寒性｜(36)｜痢疾熱痢,熱利下重者，白頭翁湯主之。(43),白頭翁湯,can_922833cbb5,白頭翁湯主之；熱利下重者,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,熱利下重者，白頭翁湯主之。(43)
clause_jg_888d58f2c7,jingui,金匱要略,下痢,下痢,下痢原文泄瀉虛寒性｜(36),45.0,原文,下痢原文泄瀉虛寒性｜(36),下利清穀，裏寒外熱，汗出而厥者，通脈四逆湯主之。(45),通脈四逆湯,can_eaa4fac2c8,通脈四逆湯主之；汗出而厥者；裏寒外熱；下利清穀,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,下利清穀，裏寒外熱，汗出而厥者，通脈四逆湯主之。(45)
clause_jg_d5f3db3bcf,jingui,金匱要略,下痢,下痢,下痢原文泄瀉虛寒性｜(36)｜氣利,47.0,原文,下痢原文泄瀉虛寒性｜(36)｜氣利,氣利，訶黎勒散主之。(47),訶黎勒散,can_72d716e5f7,氣利,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,"下利氣者，當利其小便。(31)
氣利，訶黎勒散主之。(47)
註釋：下利氣，指下利而又矢氣，氣隨利矢，頻頻不已，故又稱氣利。"
clause_jg_505077ce20,jingui,金匱要略,下痢,下痢,下痢原文泄瀉虛寒性,,原文,下痢原文泄瀉虛寒性,下利腹脹滿，身體疼痛者，先溫其裏，乃攻其表。溫裏宜四逆湯，攻表宜桂枝湯。,桂枝湯；四逆湯,can_2849adeebb；can_4bd7a9684a,溫裏宜四逆湯；下利腹脹滿；身體疼痛者,122,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,needs_clause_no_review,下利腹脹滿，身體疼痛者，先溫其裏，乃攻其表。溫裏宜四逆湯，攻表宜桂枝湯。
clause_jg_895c8d980f,jingui,金匱要略,下痢,下痢,後遺症,44.0,後遺症,後遺症,下利後更煩，按之心下濡者，為虛煩也，梔子豉湯主之。(44),梔子豉湯,can_2482e4b13d,梔子豉湯主之；按之心下濡者；下利後更煩；為虛煩也,123,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,下利後更煩，按之心下濡者，為虛煩也，梔子豉湯主之。(44)
clause_jg_af3938217f,jingui,金匱要略,下痢,下痢,其他條文,46.0,筆記,其他條文,下利肺痛，紫參湯主之。(46),紫參湯,can_b18a13f6c2,下利,123,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,"下利肺痛，紫參湯主之。(46)
本條注家爭議較大，有認為肺痛不知何證而存疑，有認為肺痛是腹痛之誤，亦有認為肺痛即胸痛等。
究竟以何種說法為是，需待進一步考證。"
clause_jg_fe57c220f6,jingui,金匱要略,下血,下血,原文,15.0,原文,原文,下血，先便後血，此遠血也，黃土湯主之。(15),黃土湯,can_d21b4c22dd,此遠血也；先便後血；下血,109,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,"下血，先便後血，此遠血也，黃土湯主之。(15)
本條論述虛寒便血的證治。
下血，大便在先，便後出血，血來自直腸以上的部位，
稱為「遠血」。
多由中焦脾氣虛寒，統攝無權而血下滲所致。
下血，先血後便，此近血也，赤小豆當歸散主之。(16)
本條論述濕熱便血的證治。
下血，先血後便，是為「近血」。
其證多因濕熱蘊結大腸，迫血下行所致。
上述兩條所論之遠血與近血，其病證有虛實寒熱之分。
 黃土湯所治之遠血，屬脾氣虛寒失於統攝
 赤小豆當歸散所治之近血，則為大腸濕熱灼傷陰絡。
臨床辨證時，除應以先便後血、先血後便判斷出血部位的遠近外，還當注意血的顏色及病人的全身情況。
 凡見下血暗紫稀薄，便溏腹痛，面色無華，神疲懶言，手足不溫，舌淡脈細等證候，宜黃土湯治之。
 若見下血鮮紅或兼膿液，大便不暢，苔黃膩脈數，則應以赤小豆當歸散為法。"
clause_jg_1434e397f7,jingui,金匱要略,下血,下血,原文,16.0,原文,原文,本條論述虛寒便血的證治。 下血，大便在先，便後出血，血來自直腸以上的部位， 稱為「遠血」。 多由中焦脾氣虛寒，統攝無權而血下滲所致。 下血，先血後便，此近血也，赤小豆當歸散主之。(16),赤小豆當歸散,can_22f9c07268,本條論述虛寒便血的證治；血來自直腸以上的部位；統攝無權而血下滲所致；多由中焦脾氣虛寒；稱為「遠血；便後出血；大便在先；下血,109,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,"下血，先便後血，此遠血也，黃土湯主之。(15)
本條論述虛寒便血的證治。
下血，大便在先，便後出血，血來自直腸以上的部位，
稱為「遠血」。
多由中焦脾氣虛寒，統攝無權而血下滲所致。
下血，先血後便，此近血也，赤小豆當歸散主之。(16)
本條論述濕熱便血的證治。
下血，先血後便，是為「近血」。
其證多因濕熱蘊結大腸，迫血下行所致。
上述兩條所論之遠血與近血，其病證有虛實寒熱之分。
 黃土湯所治之遠血，屬脾氣虛寒失於統攝
 赤小豆當歸散所治之近血，則為大腸濕熱灼傷陰絡。
臨床辨證時，除應以先便後血、先血後便判斷出血部位的遠近外，還當注意血的顏色及病人的全身情況。
 凡見下血暗紫稀薄，便溏腹痛，面色無華，神疲懶言，手足不溫，舌淡脈細等證候，宜黃土湯治之。
 若見下血鮮紅或兼膿液，大便不暢，苔黃膩脈數，則應以赤小豆當歸散為法。"
clause_jg_26fd951722,jingui,金匱要略,中風,中風,中風與痺｜的分別,1.0,筆記,中風與痺｜的分別,夫風之為病，當半身不遂，或但臂不遂者，此為痹。脈微而數，中風使然。(1),,,半身不遂；脈微；中風,30,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,夫風之為病，當半身不遂，或但臂不遂者，此為痹。脈微而數，中風使然。(1)
clause_jg_ef747c5acd,jingui,金匱要略,中風,中風,病因病證,2.0,病因,病因病證,寸口脈浮而緊，緊則為寒，浮則為虛；寒虛相搏，邪在皮膚；浮者血虛，絡脈空 虛；賊邪不瀉，或左或右；邪氣反緩，正氣即急，正氣引邪，喎僻不遂。 邪在於絡，肌膚不仁； 邪在於經，即重不勝； 邪入於腑，即不識人； 邪入於臟，舌即難言，口吐涎。(2),,,邪在皮膚；邪入於臟；邪在於絡；寸口脈浮；寒虛相搏；浮者血虛；肌膚不仁；口吐涎；難言,30,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,"寸口脈浮而緊，緊則為寒，浮則為虛；寒虛相搏，邪在皮膚；浮者血虛，絡脈空
虛；賊邪不瀉，或左或右；邪氣反緩，正氣即急，正氣引邪，喎僻不遂。
邪在於絡，肌膚不仁；
邪在於經，即重不勝；
邪入於腑，即不識人；
邪入於臟，舌即難言，口吐涎。(2)"
clause_jg_f6c19f36e2,jingui,金匱要略,中風,中風,病因病證,3.0,病因,病因病證,寸口脈遲而緩，遲則為寒，緩則為虛； 營緩則為亡血，衛緩則為中風。 邪氣中經，則身癢而癮疹；心氣不足，邪氣入中，則胸滿而短氣。(3),,,邪氣中經；中風；胸滿；營緩；脈遲；短氣；衛緩；身癢；癮疹；亡血,30,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,"寸口脈遲而緩，遲則為寒，緩則為虛；
營緩則為亡血，衛緩則為中風。
邪氣中經，則身癢而癮疹；心氣不足，邪氣入中，則胸滿而短氣。(3)"
clause_jg_929937ef90,jingui,金匱要略,五臟風寒積聚病脈證并治第十一,五臟風寒積聚病脈證并治第十一,五臟中風,1.0,筆記,五臟中風,肺中風者，口燥而喘，身運而重，冒而腫脹。(1),,,中風；腫脹,65,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,"肺中風者，口燥而喘，身運而重，冒而腫脹。(1)
肝中風者，頭目瞤，兩脅痛，行常傴，令人嗜甘。(4)
心中風者，翕翕發熱，不能起，心中飢，食即嘔吐。(8)
脾中風者，翕翕發熱，形如醉人，腹中煩重，皮目瞤瞤而短氣。(13)"
clause_jg_fe4ac1d6d7,jingui,金匱要略,五臟風寒積聚病脈證并治第十一,五臟風寒積聚病脈證并治第十一,五臟中寒,2.0,筆記,五臟中寒,肺中寒，吐濁涕。(2),,,,65,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,肺中寒，吐濁涕。(2)
clause_jg_c6f67bde7e,jingui,金匱要略,五臟風寒積聚病脈證并治第十一,五臟風寒積聚病脈證并治第十一,五臟死脈,3.0,筆記,五臟死脈,肺死臟，浮之虛，按之弱如蔥葉，下無根者，死。(3),,,按之,65,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,肺死臟，浮之虛，按之弱如蔥葉，下無根者，死。(3)
clause_jg_683cb75eca,jingui,金匱要略,五臟風寒積聚病脈證并治第十一,五臟風寒積聚病脈證并治第十一,五臟中風,4.0,筆記,五臟中風,肝中風者，頭目瞤，兩脅痛，行常傴，令人嗜甘。(4),,,中風；脅痛,65,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,"肺中風者，口燥而喘，身運而重，冒而腫脹。(1)
肝中風者，頭目瞤，兩脅痛，行常傴，令人嗜甘。(4)
心中風者，翕翕發熱，不能起，心中飢，食即嘔吐。(8)
脾中風者，翕翕發熱，形如醉人，腹中煩重，皮目瞤瞤而短氣。(13)"
clause_jg_fc658941cb,jingui,金匱要略,五臟風寒積聚病脈證并治第十一,五臟風寒積聚病脈證并治第十一,五臟中寒,5.0,筆記,五臟中寒,肝中寒者，兩臂不舉，舌本燥，喜太息，胸中痛，不得轉側，食則吐而汗出也。 《脈經》、《千金》云：時盜汗、咳，食已吐其汁。(5),,,汗出；盜汗,65,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,"肝中寒者，兩臂不舉，舌本燥，喜太息，胸中痛，不得轉側，食則吐而汗出也。
《脈經》、《千金》云：時盜汗、咳，食已吐其汁。(5)"
clause_jg_7176cbf6d1,jingui,金匱要略,五臟風寒積聚病脈證并治第十一,五臟風寒積聚病脈證并治第十一,五臟死脈,6.0,筆記,五臟死脈,肝死臟，浮之弱，按之如索不來，或曲如蛇行者，死。(6),,,按之,65,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,肝死臟，浮之弱，按之如索不來，或曲如蛇行者，死。(6)
clause_jg_30a97b2ba5,jingui,金匱要略,五臟風寒積聚病脈證并治第十一,五臟風寒積聚病脈證并治第十一,原文肝著,7.0,原文,原文肝著,肝著，其人常欲蹈其胸上，先未苦時，但欲飲熱，旋覆花湯主之。臣億等校諸本旋覆花 湯方，皆同。(7),旋覆花湯,can_6a20369ddb,其人常欲蹈其胸上；但欲飲熱,65,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,"肝著，其人常欲蹈其胸上，先未苦時，但欲飲熱，旋覆花湯主之。臣億等校諸本旋覆花
湯方，皆同。(7)"
clause_jg_3763105b8d,jingui,金匱要略,五臟風寒積聚病脈證并治第十一,五臟風寒積聚病脈證并治第十一,五臟中風,8.0,筆記,五臟中風,心中風者，翕翕發熱，不能起，心中飢，食即嘔吐。(8),,,翕翕發熱；中風；不能；嘔吐,65,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,"肺中風者，口燥而喘，身運而重，冒而腫脹。(1)
肝中風者，頭目瞤，兩脅痛，行常傴，令人嗜甘。(4)
心中風者，翕翕發熱，不能起，心中飢，食即嘔吐。(8)
脾中風者，翕翕發熱，形如醉人，腹中煩重，皮目瞤瞤而短氣。(13)"
clause_jg_56f5317f84,jingui,金匱要略,五臟風寒積聚病脈證并治第十一,五臟風寒積聚病脈證并治第十一,五臟中寒,9.0,筆記,五臟中寒,心中寒者，其人苦病心如噉蒜狀，劇者心痛徹背，背痛徹心，譬如蠱注。其脈 浮者，自吐乃愈。(9),,,背痛徹心；心痛徹背,65,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,"心中寒者，其人苦病心如噉蒜狀，劇者心痛徹背，背痛徹心，譬如蠱注。其脈
浮者，自吐乃愈。(9)"
clause_jg_1325f4051d,jingui,金匱要略,五臟風寒積聚病脈證并治第十一,五臟風寒積聚病脈證并治第十一,原文肝著｜脾約｜心病,10.0,原文,原文肝著｜脾約｜心病,心傷者，其人勞倦，即頭面赤而下重，心中痛而自煩，發熱，當臍跳，其脈 弦，此為心臟傷所致也。(10),,,面赤；發熱,65,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,"心傷者，其人勞倦，即頭面赤而下重，心中痛而自煩，發熱，當臍跳，其脈
弦，此為心臟傷所致也。(10)"
clause_jg_234adeab8d,jingui,金匱要略,五臟風寒積聚病脈證并治第十一,五臟風寒積聚病脈證并治第十一,五臟死脈,11.0,筆記,五臟死脈,心死臟，浮之實如麻豆，按之益躁急者，死。(11),,,按之,65,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,心死臟，浮之實如麻豆，按之益躁急者，死。(11)
clause_jg_15a8e3ab5b,jingui,金匱要略,五臟風寒積聚病脈證并治第十一,五臟風寒積聚病脈證并治第十一,原文肝著｜脾約｜心病,12.0,原文,原文肝著｜脾約｜心病,邪哭使魂魄不安者，血氣少也；血氣少者屬於心，心氣虛者，其人則畏，合 目欲眠，夢遠行而精神離散，魂魄妄行。 陰氣衰者為癲，陽氣衰者為狂。(12),,,,65,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,"邪哭使魂魄不安者，血氣少也；血氣少者屬於心，心氣虛者，其人則畏，合
目欲眠，夢遠行而精神離散，魂魄妄行。
陰氣衰者為癲，陽氣衰者為狂。(12)"
clause_jg_bcc8cdc59a,jingui,金匱要略,五臟風寒積聚病脈證并治第十一,五臟風寒積聚病脈證并治第十一,五臟中風,13.0,筆記,五臟中風,脾中風者，翕翕發熱，形如醉人，腹中煩重，皮目瞤瞤而短氣。(13),,,翕翕發熱；中風；短氣；腹中,65,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,"肺中風者，口燥而喘，身運而重，冒而腫脹。(1)
肝中風者，頭目瞤，兩脅痛，行常傴，令人嗜甘。(4)
心中風者，翕翕發熱，不能起，心中飢，食即嘔吐。(8)
脾中風者，翕翕發熱，形如醉人，腹中煩重，皮目瞤瞤而短氣。(13)"
clause_jg_0407bb7ce9,jingui,金匱要略,五臟風寒積聚病脈證并治第十一,五臟風寒積聚病脈證并治第十一,五臟死脈,14.0,筆記,五臟死脈,脾死臟，浮之大堅，按之如覆盃潔潔，狀如搖者，死。臣億等詳五臟各有中風、中寒， 今脾只載中風，腎中風、中寒俱不載者，以古文簡亂極多，去古既遠，無它可以補綴也。(14),,,中風；按之,65,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,"脾死臟，浮之大堅，按之如覆盃潔潔，狀如搖者，死。臣億等詳五臟各有中風、中寒，
今脾只載中風，腎中風、中寒俱不載者，以古文簡亂極多，去古既遠，無它可以補綴也。(14)"
clause_jg_392339a05f,jingui,金匱要略,五臟風寒積聚病脈證并治第十一,五臟風寒積聚病脈證并治第十一,原文肝著｜脾約,15.0,原文,原文肝著｜脾約,趺陽脈浮而澀，浮則胃氣強，澀則小便數，浮澀相搏，大便則堅，其脾為約， 麻子仁丸主之。(15),麻子仁丸,can_c55bf7f8a9,澀則小便數；趺陽脈浮；大便則堅；胃氣強,65,2_1_1_臨床一-金匱要略分章筆記(100-1_114-2).pdf,pdf_primary_structured_zip_seed,structured_jingui_v028_clause_rows_split_by_clause_no,usable,"趺陽脈浮而澀，浮則胃氣強，澀則小便數，浮澀相搏，大便則堅，其脾為約，
麻子仁丸主之。(15)"
