structured_row_id,book_id,book_name,system_chapter,disease_section,source_section,pdf_page,line_no,table_title,pattern_name,pattern_canonical_id,symptoms_text,pathogenesis_text,treatment_method,formulas,formula_canonical_ids,evidence_text,source_pdf,parse_method,confidence,review_status
zz_row_08bede33e2,zhengzhi,中醫證治學,第五章 肺系病證,感冒,第一節 感冒,12,13,,,,發熱不惡寒；口渴；咳嗽,,,小青龍加石膏湯；大青龍湯；涼膈散；越婢湯,can_738e7dea8a；can_a1400e6cd2；can_8aef833bbc；can_1456bfc3e0,6 | 歷屆考古題 | 解答 | 【109-1-臨床二-48】 | 感冒可能因六淫侵襲人體而致病，除了風邪為主因外，在不同季節常與當令之時 | 氣相合而傷人，下列敘述何者錯誤？ | (A)冬季多夾風燥(B)春季多夾風熱(C)夏季多夾暑濕(D)秋季多兼燥氣 | A | 不典型題目 | 課本沒有，只能依照自己平日累積的中醫知識解題。 | 【104-2-臨床二-01】 | 30歲患者，感冒後7天，出現咳嗽、發熱不惡寒、口渴、痰黃稠、便乾硬，以下列何方治療最適 | 合？(A)小青龍加石膏湯(B)越婢湯(C)大青龍湯(D)涼膈散 | 【解析】 | 本題屬於證治學肺系疾病範疇，但題目不典型，課本中並無涼膈散一方，故先用常理推敲。 | 發熱不惡寒、口渴、痰黃稠、便乾硬，可看出有熱象且津液受損煉津為痰，且便乾硬。依《內 | 經》：「寒者熱之，熱者寒之」。故處方時應以寒涼滋潤、瀉火通便為法，故選(D)涼膈散。 | (A)小青龍加石膏湯《金匱要略》 | 藥物組成：麻黃、芍藥、桂枝、細辛、乾薑、甘草、五味子、半夏、石膏 | 功效：解表蠲飲，止咳平喘。,2_1_4_臨床一-中醫證治學分章精要筆記(103-1_109-2)_舊版.pdf,pdf_text_formula_anchor_context,low_context,needs_sample_review
zz_row_ba2c06b4e2,zhengzhi,中醫證治學,第五章 肺系病證,鼻淵,第二節 鼻淵,13,50,《鼻淵辨證論治簡表》,風熱犯肺,can_4eb86cf603,苔薄白或微黃；鼻涕膿稠；鼻內紅腫；頭昏腦脹；香臭難辨；鼻流膿涕；口苦咽乾；夜寐夢多；大便乾結；頭額脹痛；脈弦數；脈浮數；舌紅；發熱；鼻塞；苔黃；身痛；惡寒,,疏風清熱；辛宣利竅,蒼耳子散,can_70bb74b1d0,證 | 熱 | 壅 | 肺 | 竅 | 主症：鼻塞，香臭難辨，頭額脹痛，鼻流膿涕， | 苔薄白或微黃，脈浮數 | 兼症：發熱，惡寒，身痛 | 風熱犯肺 | 上犯清竅 | 疏風清熱 | 辛宣利竅 | 蒼耳子散 | 膽 | 火 | 上 | 干 | 主症：鼻涕膿稠，色黃而臭，鼻內紅腫，口苦咽乾， | 舌紅，苔黃，脈弦數 | 兼症：頭昏腦脹，夜寐夢多，大便乾結,2_1_4_臨床一-中醫證治學分章精要筆記(103-1_109-2)_舊版.pdf,pdf_text_formula_anchor_context,medium_high,usable
zz_row_d6d50da0b8,zhengzhi,中醫證治學,第五章 肺系病證,鼻淵,第二節 鼻淵,13,62,,膽移熱於腦,can_81621030ad,涕出黃稠量多；鼻涕膿稠；口黏痰多；鼻內紅腫；頭昏腦脹；夜寐夢多；大便乾結；脘痞納差；肢體困倦；口苦咽乾；脈滑數；脈弦數；苔黃膩；舌質紅；頭昏重；舌紅；鼻塞；苔黃,,化濁通竅；清膽瀉火,龍膽瀉肝湯；蒼耳子散,can_928a9baaaa；can_70bb74b1d0,蒼耳子散 | 膽 | 火 | 上 | 干 | 主症：鼻涕膿稠，色黃而臭，鼻內紅腫，口苦咽乾， | 舌紅，苔黃，脈弦數 | 兼症：頭昏腦脹，夜寐夢多，大便乾結 | 膽移熱於腦 | 火熱薰灼清竅 | 清膽瀉火 | 化濁通竅 | 龍膽瀉肝湯 | 脾 | 經 | 濕 | 熱 | 主症：涕出黃稠量多，鼻塞，脘痞納差，口黏痰多， | 苔黃膩，舌質紅，脈滑數 | 兼症：頭昏重，肢體困倦,2_1_4_臨床一-中醫證治學分章精要筆記(103-1_109-2)_舊版.pdf,pdf_text_formula_anchor_context,medium_high,usable
zz_row_dc9f36ecd4,zhengzhi,中醫證治學,第五章 肺系病證,鼻淵,第二節 鼻淵,13,74,,濕熱薰蒸,can_cb8fae1fdd,涕出黃稠量多；口黏痰多；涕清色白；脘痞納差；肢體困倦；脈滑數；苔黃膩；舌質紅；頭昏重；鼻塞；量多,,清脾化濕；芳香通竅,龍膽瀉肝湯；甘露消毒丹,can_928a9baaaa；can_2580e7bb40,龍膽瀉肝湯 | 脾 | 經 | 濕 | 熱 | 主症：涕出黃稠量多，鼻塞，脘痞納差，口黏痰多， | 苔黃膩，舌質紅，脈滑數 | 兼症：頭昏重，肢體困倦 | 濕熱薰蒸 | 上干清竅 | 清脾化濕 | 芳香通竅 | 甘露消毒丹 | 虛 | 證 | 肺 | 氣 | 虛 | 寒 | 主症：涕清色白，量多，遇風寒則加重，,2_1_4_臨床一-中醫證治學分章精要筆記(103-1_109-2)_舊版.pdf,pdf_text_formula_anchor_context,medium_high,usable
zz_row_d7d647a3d5,zhengzhi,中醫證治學,第五章 肺系病證,鼻淵,第二節 鼻淵,13,88,,氣虛,can_1968142cd7,大便不實或溏瀉；涕多黏濁色白；面色㿠白；脈虛無力；久涎不已；頭昏目眩；涕清色白；四肢倦怠；少氣懶言；脈緩無力；面色萎黃；鼻塞不利；舌質淡；苔薄白；自汗；食少；氣短；量多,,散寒通竅；益氣溫肺,溫肺止流丹,can_951a5270d1,證 | 肺 | 氣 | 虛 | 寒 | 主症：涕清色白，量多，遇風寒則加重， | 舌質淡，苔薄白，脈虛無力 | 兼症：氣短，自汗，面色㿠白 | 氣虛寒凝 | 肺氣失宣 | 益氣溫肺 | 散寒通竅 | 溫肺止流丹 | 脾 | 氣 | 虛 | 弱 | 主症：涕多黏濁色白，鼻塞不利，久涎不已，食少， | 大便不實或溏瀉，舌質淡，苔薄白，脈緩無力 | 兼症：頭昏目眩，少氣懶言，四肢倦怠，面色萎黃,2_1_4_臨床一-中醫證治學分章精要筆記(103-1_109-2)_舊版.pdf,pdf_text_formula_anchor_context,medium_high,usable
zz_row_4fde334f05,zhengzhi,中醫證治學,第五章 肺系病證,鼻淵,第二節 鼻淵,13,101,,脾胃虛弱,can_6e96266bc5,大便不實或溏瀉；涕多黏濁色白；四肢倦怠；鼻塞不利；久涎不已；少氣懶言；舌淡而胖；面色萎黃；視糊健忘；涕出膿黏；腰脊痠軟；頭昏目眩；脈緩無力；眩暈耳鳴；脈細數；舌質淡；苔薄白；舌質紅；苔少；食少,,健脾益氣；升清降濁,補中益氣湯,can_9c9eb17b0c,脾 | 氣 | 虛 | 弱 | 主症：涕多黏濁色白，鼻塞不利，久涎不已，食少， | 大便不實或溏瀉，舌質淡，苔薄白，脈緩無力 | 兼症：頭昏目眩，少氣懶言，四肢倦怠，面色萎黃 | 脾胃虛弱 | 清氣不升 | 濁氣壅滯 | 健脾益氣 | 升清降濁 | 補中益氣湯 | 髓 | 海 | 不 | 充 | 主症：涕出膿黏，或如魚腦，眩暈耳鳴，視糊健忘， | 腰脊痠軟， | 苔少，舌質紅或舌淡而胖，脈細數或沉細無力,2_1_4_臨床一-中醫證治學分章精要筆記(103-1_109-2)_舊版.pdf,pdf_text_formula_anchor_context,medium_high,usable
zz_row_c7481181d6,zhengzhi,中醫證治學,第五章 肺系病證,鼻淵,第二節 鼻淵,13,116,,腎陽虛,can_80690b3c78,形寒肢冷；涕出膿黏；視糊健忘；腰脊痠軟；面色蒼白；舌淡而胖；顴紅咽乾；眩暈耳鳴；舌質紅；脈細數；盜汗；陽虛；苔少,,益腦止涕；補腎填精,六味地黃丸；生脈散；補腦丸,can_239d9dd90c；can_0c7a0c0c52；can_269931ed3c,不 | 充 | 主症：涕出膿黏，或如魚腦，眩暈耳鳴，視糊健忘， | 腰脊痠軟， | 苔少，舌質紅或舌淡而胖，脈細數或沉細無力 | 兼症：陰虛則顴紅咽乾，盜汗； | 腎陽虧則面色蒼白，形寒肢冷 | 髓海空虛 | 損及於腎 | 補腎填精 | 益腦止涕 | 腎陰虛： | 六味地黃丸 | + | 生脈散 | 腎陽虛： | 補腦丸,2_1_4_臨床一-中醫證治學分章精要筆記(103-1_109-2)_舊版.pdf,pdf_text_formula_anchor_context,medium_high,usable
zz_row_0a58430072,zhengzhi,中醫證治學,第五章 肺系病證,鼻淵,第二節 鼻淵,14,25,,熱壅肺竅,can_be43e9227b,鼻涕膿稠；舌紅苔黃；四肢倦怠；脈緩無力；口苦咽乾；脈弦數；苔薄白；涕量多；多夢；大便；鼻塞；納少；頭昏；短氣,,,六味地黃丸；甘露消毒丹；補中益氣湯；蒼耳子散,can_239d9dd90c；can_2580e7bb40；can_9c9eb17b0c；can_70bb74b1d0,C | 【106-2-臨床一(花東補考)-57】 | 鼻淵的辨證應分清虛實，下列敘述何者錯誤？ | (A)暴起初病，體質壯實者屬實證 | (B)黃膿涕表示感受風熱，或風寒化熱 | (C)涕中挾血，多為燥火上干，應警惕癌變 | (D)黏涕量多不斷表示脾胃俱虛，氣不攝津 | B | 【107-1-臨床一-57】 | 28歲患者流鼻涕反覆持續半年，鼻涕黏濁色白，鼻塞，納少易溏瀉，短氣懶言， | 四肢倦怠，苔薄白，脈緩無力，經診斷為鼻淵，證型與治療方劑下列何者正確？ | (A)熱壅肺竅，蒼耳子散(B)脾經濕熱，甘露消毒丹 | (C)脾氣虛弱，補中益氣湯(D)髓海不充，六味地黃丸 | C | 【107-2-臨床一-54】 | 17歲男性，因鼻有臭味前來就診，主述鼻涕膿稠，色黃而臭，微有噴嚏，鼻微 | 塞，視其鼻腔紅腫，伴隨有頭昏脹，夜寐多夢，口苦咽乾，大便每天如廁但大便 | 乾結，舌紅苔黃，脈弦數，其病機為下列何者？ | (A)風熱犯肺，上犯清竅(B)膽移熱於腦，火熱薰灼清竅 | (C)濕熱薰灼，上干清竅(D)髓海空虛，損及於腎,2_1_4_臨床一-中醫證治學分章精要筆記(103-1_109-2)_舊版.pdf,pdf_text_formula_anchor_context,medium,usable
zz_row_4ccf5951c2,zhengzhi,中醫證治學,第五章 肺系病證,咳嗽,第三節 咳嗽,16,72,,初期,can_e0d5e6384e,,,化痰止咳；宣肺止咳；疏風散寒,桑菊飲；桑杏湯；三拗湯；止嗽散；杏蘇散,can_a9a31fe009；can_818bcaeb53；can_1de5fe591a；can_ee62cdd2f9；can_831b8663b8,肺炎初期等(毒血症較顯著) | 多見於春季 | 多見於秋冬內較乾燥的季節， | 如外感、急性支氣管炎的某些類型，以 | 及肺結核初期，支氣管內膜結核的部分 | 患者 | 治法 | 疏風散寒，宣肺止咳 | 疏風清肺，化痰止咳 | 溫燥：疏風清肺，潤燥止咳 | 涼燥：疏風散寒，潤燥止咳 | 主方 | 三拗湯、止嗽散 | 桑菊飲 | 溫燥：桑杏湯(梨皮) | 涼燥：杏蘇散(紫蘇、薑棗),2_1_4_臨床一-中醫證治學分章精要筆記(103-1_109-2)_舊版.pdf,pdf_text_formula_anchor_context,medium_high,usable
zz_row_3b7d2f6df1,zhengzhi,中醫證治學,第五章 肺系病證,咳嗽,第三節 咳嗽,17,18,《內傷咳嗽辨證論治簡表》,,,咳聲重濁；咳嗽氣粗；痰多易出；胸悶脘痞；神倦乏力；嘔惡食少；咳嗽；舌苔；量多,,健脾燥濕；化痰止咳,二陳平胃湯；三子養親湯,can_c8492d329f；can_7a66706a59,治法 | 主方 | 痰 | 濕 | 蘊 | 肺 | 咳嗽：咳聲重濁 | 咯痰：黏膩或稠厚成塊，白色或帶灰，痰多易出 | 伴有症狀：胸悶脘痞，嘔惡食少，神倦乏力 | 脈象：濡滑舌苔：白膩 | 健脾燥濕 | 化痰止咳 | 二陳平胃湯 | 三子養親湯 | 痰 | 熱 | 鬱 | 肺 | 咳嗽：咳嗽氣粗(有力) | 咯痰：稠黏或黃或帶血或味腥，量多，咯欠爽,2_1_4_臨床一-中醫證治學分章精要筆記(103-1_109-2)_舊版.pdf,pdf_text_formula_anchor_context,low_context,needs_sample_review
zz_row_9f2fd42b7d,zhengzhi,中醫證治學,第五章 肺系病證,咳嗽,第三節 咳嗽,17,30,,氣逆,can_8839b905d3,口乾黏欲飲；咳時面赤；胸脅脹痛；咽乾口苦；氣逆作咳；咳嗽氣粗；發熱面赤；舌紅；咳嗽；發熱；舌苔；嗆咳；脅痛；量多,,化痰止咳；清熱肅肺,二陳平胃湯；清金化痰湯；三子養親湯,can_c8492d329f；can_df309dd3d1；can_7a66706a59,二陳平胃湯 | 三子養親湯 | 痰 | 熱 | 鬱 | 肺 | 咳嗽：咳嗽氣粗(有力) | 咯痰：稠黏或黃或帶血或味腥，量多，咯欠爽 | 伴有症狀：發熱面赤或不發熱，口乾黏欲飲，或胸脅脹痛 | 脈象：滑數舌苔：薄黃膩舌紅 | 清熱肅肺 | 化痰止咳 | 清金化痰湯 | 肝 | 火 | 犯 | 肺 | 咳嗽：氣逆作咳，或為嗆咳 | 咯痰：黏，少，咯不爽，咽中伴有痰滯感 | 伴有症狀：咳時面赤，咽乾口苦，症狀可隨情緒波動增減，或有脅痛,2_1_4_臨床一-中醫證治學分章精要筆記(103-1_109-2)_舊版.pdf,pdf_text_formula_anchor_context,medium_high,usable
