book,section_id,parent_section_id,level,section_title,page_start,page_end,question_count,pdf_marker_count
shanghan,pdfsec_shanghan_8d8f512574,pdfsec_shanghan_4496c1e16a,4,附子瀉心湯證,50,50,0,0
shanghan,pdfsec_shanghan_c8a497fba5,pdfsec_shanghan_4496c1e16a,4,半夏瀉心湯證,50,50,0,0
shanghan,pdfsec_shanghan_b5c789aaab,pdfsec_shanghan_4496c1e16a,4,生薑瀉心湯證,50,50,0,0
shanghan,pdfsec_shanghan_8af8fcb9ea,pdfsec_shanghan_4496c1e16a,4,甘草瀉心湯證,50,50,0,0
shanghan,pdfsec_shanghan_c40d9c1338,pdfsec_shanghan_4496c1e16a,4,赤石脂禹餘糧湯證,50,50,0,0
shanghan,pdfsec_shanghan_18aff7113a,pdfsec_shanghan_4496c1e16a,4,五苓散證,51,51,0,0
shanghan,pdfsec_shanghan_fbaacef739,pdfsec_shanghan_4496c1e16a,4,旋覆代赭湯證,51,51,0,0
shanghan,pdfsec_shanghan_5b9662ff07,pdfsec_shanghan_4496c1e16a,4,痞證方劑整理,51,54,57,19
shanghan,pdfsec_shanghan_6410cb5ac2,pdfsec_shanghan_a37d3b6640,3,十三、上熱下寒證,55,56,18,6
shanghan,pdfsec_shanghan_b7cf9bc072,pdfsec_shanghan_a37d3b6640,3,十四、火逆證,57,57,0,0
shanghan,pdfsec_shanghan_a7756da354,pdfsec_shanghan_a37d3b6640,3,十五、欲愈候,57,57,0,0
shanghan,pdfsec_shanghan_4fb5df6412,pdfsec_shanghan_b7c794a445,2,第四節 太陽病類似證,58,60,18,6
shanghan,pdfsec_shanghan_299999886b,pdfsec_shanghan_4fb5df6412,3,一、十棗湯證,58,58,6,2
shanghan,pdfsec_shanghan_a15fa08be8,pdfsec_shanghan_4fb5df6412,3,二、瓜蒂散證,59,60,12,4
shanghan,pdfsec_shanghan_4a2f8c72fc,pdfsec_shanghan_b7c794a445,2,第五節 太陽篇備考原文,61,61,6,2
shanghan,pdfsec_shanghan_9701af153c,,1,第二章 辨陽明病脈證並治,62,90,188,65
shanghan,pdfsec_shanghan_7f0718c58c,pdfsec_shanghan_9701af153c,2,概說,62,62,0,0
shanghan,pdfsec_shanghan_e723e21ad0,pdfsec_shanghan_9701af153c,2,第一節 陽明病綱要,62,66,24,8
shanghan,pdfsec_shanghan_a8498c0c16,pdfsec_shanghan_e723e21ad0,3,一、陽明病提綱,62,62,6,2
shanghan,pdfsec_shanghan_ad8f2a8ef3,pdfsec_shanghan_e723e21ad0,3,二、陽明病病因病機,63,64,6,2
shanghan,pdfsec_shanghan_124d15ce1c,pdfsec_shanghan_e723e21ad0,3,三、陽明病脈證,65,66,12,4
shanghan,pdfsec_shanghan_3487db3c3c,pdfsec_shanghan_9701af153c,2,第二節 陽明病本證,67,80,111,37
shanghan,pdfsec_shanghan_6ab025a0f6,pdfsec_shanghan_3487db3c3c,3,一、陽明熱證,67,72,54,18
shanghan,pdfsec_shanghan_19edab407a,pdfsec_shanghan_6ab025a0f6,4,梔子豉湯證,67,67,0,0
shanghan,pdfsec_shanghan_97472e8ac8,pdfsec_shanghan_6ab025a0f6,4,白虎湯證,67,67,0,0
shanghan,pdfsec_shanghan_adddf70e34,pdfsec_shanghan_6ab025a0f6,4,白虎加人參湯證,67,67,0,0
shanghan,pdfsec_shanghan_9187941b4e,pdfsec_shanghan_6ab025a0f6,4,豬苓湯證,67,67,0,0
shanghan,pdfsec_shanghan_bd98ebac44,pdfsec_shanghan_6ab025a0f6,4,陽明熱證方劑整理,68,72,54,18
shanghan,pdfsec_shanghan_ba65ba95d3,pdfsec_shanghan_3487db3c3c,3,二、陽明實證,73,80,57,19
shanghan,pdfsec_shanghan_3083d8e552,pdfsec_shanghan_ba65ba95d3,4,調胃承氣湯證,73,73,0,0
shanghan,pdfsec_shanghan_c707147f01,pdfsec_shanghan_ba65ba95d3,4,小承氣湯證,73,73,0,0
shanghan,pdfsec_shanghan_9ebb5948ff,pdfsec_shanghan_ba65ba95d3,4,大承氣湯證,73,73,0,0
shanghan,pdfsec_shanghan_8cce3a1b21,pdfsec_shanghan_ba65ba95d3,4,潤導法,74,74,0,0
shanghan,pdfsec_shanghan_0eb9da7e83,pdfsec_shanghan_ba65ba95d3,4,下法辨證,74,74,0,0
shanghan,pdfsec_shanghan_bc7d76d53b,pdfsec_shanghan_ba65ba95d3,4,下法禁例,75,75,0,0
shanghan,pdfsec_shanghan_37d562fbfe,pdfsec_shanghan_ba65ba95d3,4,陽明實證方劑整理,75,80,57,19
shanghan,pdfsec_shanghan_5142b21e59,pdfsec_shanghan_9701af153c,2,第三節 陽明病兼變證,81,86,38,12
shanghan,pdfsec_shanghan_ecf986612e,pdfsec_shanghan_5142b21e59,3,一、發黃證,81,83,20,6
shanghan,pdfsec_shanghan_0f60f0efeb,pdfsec_shanghan_5142b21e59,3,二、血熱證,84,86,18,6
shanghan,pdfsec_shanghan_294a12b483,pdfsec_shanghan_9701af153c,2,第四節 陽明病辨證,87,88,18,6
shanghan,pdfsec_shanghan_53d947edf8,pdfsec_shanghan_294a12b483,3,一、辨中風中寒,87,87,0,0
shanghan,pdfsec_shanghan_e700fe00a1,pdfsec_shanghan_294a12b483,3,二、辨虛證實證,87,88,18,6
shanghan,pdfsec_shanghan_88c1a207d3,pdfsec_shanghan_9701af153c,2,第五節 陽明篇備考原文,89,90,6,2
shanghan,pdfsec_shanghan_d320f6ca7a,,1,第三章 辨少陽病脈證並治,91,111,110,36
shanghan,pdfsec_shanghan_ae5de3ba08,pdfsec_shanghan_d320f6ca7a,2,概說,91,91,0,0
shanghan,pdfsec_shanghan_c840f1f686,pdfsec_shanghan_d320f6ca7a,2,第一節 少陽病綱要,91,92,12,4
shanghan,pdfsec_shanghan_a80d8294dd,pdfsec_shanghan_d320f6ca7a,2,第二節 少陽病本證,93,99,37,12
shanghan,pdfsec_shanghan_21d9f65b7f,pdfsec_shanghan_a80d8294dd,3,一、小柴胡湯證,93,98,34,11
shanghan,pdfsec_shanghan_57f3b2fc08,pdfsec_shanghan_a80d8294dd,3,二、小柴胡湯禁例,99,99,3,1
shanghan,pdfsec_shanghan_c40eaca4aa,pdfsec_shanghan_d320f6ca7a,2,第三節 少陽病兼變證,100,111,61,20
shanghan,pdfsec_shanghan_b69aec5c65,pdfsec_shanghan_c40eaca4aa,3,一、變證治則,100,100,0,0
shanghan,pdfsec_shanghan_2bb86f22e8,pdfsec_shanghan_c40eaca4aa,3,二、柴胡桂枝湯證,100,100,3,1
shanghan,pdfsec_shanghan_6dedfee19a,pdfsec_shanghan_c40eaca4aa,3,三、大柴胡湯證,101,102,12,4
shanghan,pdfsec_shanghan_39100d1b36,pdfsec_shanghan_c40eaca4aa,3,四、柴胡加芒硝湯證,103,104,12,4
shanghan,pdfsec_shanghan_be11a85b6b,pdfsec_shanghan_c40eaca4aa,3,五、柴胡桂枝乾薑湯證,105,107,13,4
shanghan,pdfsec_shanghan_c31800a2b5,pdfsec_shanghan_c40eaca4aa,3,六、柴胡加龍骨牡蠣湯證,108,109,12,4
shanghan,pdfsec_shanghan_3d489a784c,pdfsec_shanghan_c40eaca4aa,3,七、傳變與預後,110,110,3,1
shanghan,pdfsec_shanghan_4f6105594b,pdfsec_shanghan_c40eaca4aa,3,八、熱入血室,111,111,6,2
shanghan,pdfsec_shanghan_eeeebc90c1,,1,第四章 辨太陰病脈證並治,112,120,52,17
shanghan,pdfsec_shanghan_4907f49b18,pdfsec_shanghan_eeeebc90c1,2,概說,112,112,6,2
shanghan,pdfsec_shanghan_890cc27cbb,pdfsec_shanghan_eeeebc90c1,2,第一節 太陰病綱要,113,114,15,5
shanghan,pdfsec_shanghan_37be171ae7,pdfsec_shanghan_890cc27cbb,3,一、太陰病提綱,113,113,0,0
shanghan,pdfsec_shanghan_3b045d3d22,pdfsec_shanghan_890cc27cbb,3,二、太陰病欲愈候,113,114,15,5
shanghan,pdfsec_shanghan_43d4da35fe,pdfsec_shanghan_eeeebc90c1,2,第二節 太陰病本證,115,115,6,2
shanghan,pdfsec_shanghan_7f3eada0ae,pdfsec_shanghan_eeeebc90c1,2,第三節 太陰病兼變證,116,120,25,8
shanghan,pdfsec_shanghan_b1d2750d00,pdfsec_shanghan_7f3eada0ae,3,一、太陰病兼表證,116,116,3,1
shanghan,pdfsec_shanghan_8b448d8546,pdfsec_shanghan_7f3eada0ae,3,二、太陰病腹痛證,116,117,6,2
shanghan,pdfsec_shanghan_18b4723963,pdfsec_shanghan_7f3eada0ae,3,三、太陰病轉愈 與 轉屬陽明的辨證,118,120,16,5
shanghan,pdfsec_shanghan_8240111bfc,pdfsec_shanghan_18b4723963,4,太陰病轉愈的臨床表現及其機理,118,118,0,0
shanghan,pdfsec_shanghan_84e431d27a,pdfsec_shanghan_18b4723963,4,太陰轉屬陽明的臨床特徵,118,120,16,5
shanghan,pdfsec_shanghan_1aa7ebdd6b,,1,第五章 辨少陰病脈證並治,121,148,147,49
shanghan,pdfsec_shanghan_4e03b7a32e,pdfsec_shanghan_1aa7ebdd6b,2,概說,121,122,9,3
shanghan,pdfsec_shanghan_2b592d0e5d,pdfsec_shanghan_1aa7ebdd6b,2,第一節 少陰病綱要,123,124,6,2
shanghan,pdfsec_shanghan_8f17179d61,pdfsec_shanghan_2b592d0e5d,3,一、少陰寒化證主要脈證,123,123,0,0
shanghan,pdfsec_shanghan_243ad11a30,pdfsec_shanghan_2b592d0e5d,3,二、少陰病治禁,123,124,6,2
shanghan,pdfsec_shanghan_d92dec8782,pdfsec_shanghan_1aa7ebdd6b,2,第二節 少陰病本證,125,138,87,29
shanghan,pdfsec_shanghan_d840dee593,pdfsec_shanghan_d92dec8782,3,一、少陰寒化證,125,136,75,25
shanghan,pdfsec_shanghan_b1740fe521,pdfsec_shanghan_d840dee593,4,四逆湯證,125,125,0,0
shanghan,pdfsec_shanghan_ec8f0003a0,pdfsec_shanghan_d840dee593,4,通脈四逆湯證,125,125,0,0
shanghan,pdfsec_shanghan_7ecf6be2e6,pdfsec_shanghan_d840dee593,4,白通及白通加諸膽汁湯證,125,125,0,0
shanghan,pdfsec_shanghan_4e8ec9788d,pdfsec_shanghan_d840dee593,4,真武湯證,125,125,0,0
shanghan,pdfsec_shanghan_48dea1a5af,pdfsec_shanghan_d840dee593,4,附子湯證,125,125,0,0
shanghan,pdfsec_shanghan_8eed4f39c5,pdfsec_shanghan_d840dee593,4,吳茱萸湯證,125,125,0,0
shanghan,pdfsec_shanghan_7c2f683cd6,pdfsec_shanghan_d840dee593,4,桃花湯證,125,125,0,0
shanghan,pdfsec_shanghan_1798f6b42e,pdfsec_shanghan_d840dee593,4,刺灸法,126,126,0,0
shanghan,pdfsec_shanghan_45a00985c2,pdfsec_shanghan_d840dee593,4,預後,126,126,0,0
shanghan,pdfsec_shanghan_5653479c0d,pdfsec_shanghan_d840dee593,4,少陰寒化證方劑整理,127,136,75,25
shanghan,pdfsec_shanghan_12b71b878d,pdfsec_shanghan_d92dec8782,3,二、少陰熱化證,137,138,12,4
shanghan,pdfsec_shanghan_b56859073c,pdfsec_shanghan_12b71b878d,4,黃連阿膠湯證,137,137,0,0
shanghan,pdfsec_shanghan_c929ac119f,pdfsec_shanghan_12b71b878d,4,豬苓湯證,137,137,0,0
shanghan,pdfsec_shanghan_60276829e1,pdfsec_shanghan_12b71b878d,4,少陰熱化證方劑整理,137,138,12,4
shanghan,pdfsec_shanghan_1f082eceb2,pdfsec_shanghan_1aa7ebdd6b,2,第三節 少陰病兼變證,139,145,30,10
shanghan,pdfsec_shanghan_0d27f23ba7,pdfsec_shanghan_1f082eceb2,3,一、麻黃細辛附子湯證、麻黃附子甘草湯證,139,140,6,2
shanghan,pdfsec_shanghan_a94cde7f68,pdfsec_shanghan_1f082eceb2,3,二、少陰三急下證,141,141,3,1
shanghan,pdfsec_shanghan_40078e5b5c,pdfsec_shanghan_1f082eceb2,3,三、四逆散證,141,142,6,2
shanghan,pdfsec_shanghan_855e800aff,pdfsec_shanghan_1f082eceb2,3,四、熱移膀胱證,143,143,6,2
shanghan,pdfsec_shanghan_c0306cc1af,pdfsec_shanghan_1f082eceb2,3,五、傷津動血證,144,145,9,3
shanghan,pdfsec_shanghan_931a5dc572,pdfsec_shanghan_1aa7ebdd6b,2,第四節 咽痛證,146,148,15,5
shanghan,pdfsec_shanghan_5bb8c3dbbc,pdfsec_shanghan_931a5dc572,3,一、豬膚湯證,146,146,0,0
shanghan,pdfsec_shanghan_dd8116d6a4,pdfsec_shanghan_931a5dc572,3,二、甘草湯證、桔梗湯證,146,146,0,0
shanghan,pdfsec_shanghan_3a204e1fae,pdfsec_shanghan_931a5dc572,3,三、苦酒湯證,146,146,0,0
shanghan,pdfsec_shanghan_590f2f1bdd,pdfsec_shanghan_931a5dc572,3,四、半夏散及湯證,146,148,15,5
shanghan,pdfsec_shanghan_aebb252679,,1,第六章 辨厥陰病脈證並治,149,172,94,31
shanghan,pdfsec_shanghan_d15f023ccb,pdfsec_shanghan_aebb252679,2,概說,149,149,0,0
shanghan,pdfsec_shanghan_c5f140af2e,pdfsec_shanghan_aebb252679,2,第一節 厥陰病綱要,149,149,3,1
shanghan,pdfsec_shanghan_8757d0f79e,pdfsec_shanghan_aebb252679,2,第二節 上熱下寒證,150,154,15,5
shanghan,pdfsec_shanghan_2623611341,pdfsec_shanghan_8757d0f79e,3,一、烏梅丸證,150,152,6,2
shanghan,pdfsec_shanghan_4282ab6d71,pdfsec_shanghan_8757d0f79e,3,二、乾薑黃芩黃連人參湯證,153,153,3,1
shanghan,pdfsec_shanghan_771a917c18,pdfsec_shanghan_8757d0f79e,3,三、麻黃升麻湯證,153,154,6,2
shanghan,pdfsec_shanghan_4567fcce8e,pdfsec_shanghan_aebb252679,2,第三節 辨厥熱勝復,155,157,13,4
shanghan,pdfsec_shanghan_a5c14a06a4,pdfsec_shanghan_aebb252679,2,第四節 辨厥,158,163,30,10
shanghan,pdfsec_shanghan_8e072c89db,pdfsec_shanghan_a5c14a06a4,3,一、厥病的病理機制與証候特點,158,158,0,0
shanghan,pdfsec_shanghan_751085b4ee,pdfsec_shanghan_a5c14a06a4,3,二、熱厥,158,158,6,2
shanghan,pdfsec_shanghan_9dc1023cd6,pdfsec_shanghan_a5c14a06a4,3,三、寒厥,159,161,18,6
shanghan,pdfsec_shanghan_c3dfaa260c,pdfsec_shanghan_a5c14a06a4,3,四、其它厥證,162,162,3,1
shanghan,pdfsec_shanghan_f7f4963d6c,pdfsec_shanghan_a5c14a06a4,3,五、厥證治禁,163,163,3,1
shanghan,pdfsec_shanghan_d2efd3dcf7,pdfsec_shanghan_aebb252679,2,第五節 辨下利,164,167,15,5
shanghan,pdfsec_shanghan_340382f58d,pdfsec_shanghan_aebb252679,2,第六節 辨嘔噦,168,170,15,5
shanghan,pdfsec_shanghan_0732b6c683,pdfsec_shanghan_340382f58d,3,一、辨嘔,168,169,3,1
shanghan,pdfsec_shanghan_f93ed64ed7,pdfsec_shanghan_340382f58d,3,二、辨噦,170,170,12,4
shanghan,pdfsec_shanghan_240ef8ab76,pdfsec_shanghan_aebb252679,2,第七節 預後,171,172,3,1
shanghan,pdfsec_shanghan_46fc0a4b99,pdfsec_shanghan_240ef8ab76,3,一、厥陰寒證愈後辨,171,171,0,0
shanghan,pdfsec_shanghan_618a209f3c,pdfsec_shanghan_240ef8ab76,3,二、厥陰虛寒證死候辨,171,171,0,0
shanghan,pdfsec_shanghan_3fe394e355,pdfsec_shanghan_240ef8ab76,3,三、厥陰虛寒下利轉歸辨,171,172,3,1
shanghan,pdfsec_shanghan_ebfea30a79,,1,第七章 辨霍亂病脈證並治,173,179,51,17
shanghan,pdfsec_shanghan_f1688282a2,,1,第八章 辨陰陽易差後勞復病脈證並治,180,183,33,11
shanghan,pdfsec_shanghan_e9af2819cc,pdfsec_shanghan_f1688282a2,2,陰陽易差後勞復病備考原文,183,183,0,0
jingui,pdfsec_jingui_fd41be2bd5,,1,臟腑經絡先後病脈證第一,1,5,21,7
jingui,pdfsec_jingui_31f220cc60,,1,痙濕暍病脈證治第二,6,13,69,23
jingui,pdfsec_jingui_b438b8a69e,pdfsec_jingui_31f220cc60,2,痙病,6,8,24,8
jingui,pdfsec_jingui_128d44a008,pdfsec_jingui_31f220cc60,2,濕病,9,12,39,13
jingui,pdfsec_jingui_380ef25c54,pdfsec_jingui_31f220cc60,2,暍病,13,13,6,2
jingui,pdfsec_jingui_887782fd38,,1,百合狐惑陰陽毒病脈證治第三,14,20,54,18
jingui,pdfsec_jingui_1898eace9c,pdfsec_jingui_887782fd38,2,百合病,14,17,33,11
jingui,pdfsec_jingui_b15fc8e245,pdfsec_jingui_887782fd38,2,狐惑,18,19,15,5
jingui,pdfsec_jingui_a744909a16,pdfsec_jingui_887782fd38,2,陰陽毒,20,20,6,2
jingui,pdfsec_jingui_a01ed218eb,,1,瘧病脈證並治第四,21,23,18,6
jingui,pdfsec_jingui_60145c21d1,,1,中風歷節病脈證並治第五,24,27,36,12
jingui,pdfsec_jingui_fd84ddb538,pdfsec_jingui_60145c21d1,2,中風,24,24,9,3
jingui,pdfsec_jingui_e669da96a0,pdfsec_jingui_60145c21d1,2,歷節,25,27,27,9
jingui,pdfsec_jingui_6d8e1c6542,,1,血痹虛勞病脈證並治第六,28,33,54,18
jingui,pdfsec_jingui_d14d55087b,pdfsec_jingui_6d8e1c6542,2,血痹,28,28,9,3
jingui,pdfsec_jingui_44ab3bd27f,pdfsec_jingui_6d8e1c6542,2,虛勞,29,33,45,15
jingui,pdfsec_jingui_9d49f77886,,1,肺痿肺癰咳嗽上氣病脈證治第七,34,43,71,23
jingui,pdfsec_jingui_8006d3a68c,pdfsec_jingui_9d49f77886,2,肺痿,34,35,18,6
jingui,pdfsec_jingui_59a9a70ed5,pdfsec_jingui_9d49f77886,2,肺癰,36,38,18,6
jingui,pdfsec_jingui_74e7ac7693,pdfsec_jingui_9d49f77886,2,咳嗽上氣,39,43,35,11
jingui,pdfsec_jingui_3954cb4ff0,,1,奔豚氣病脈證治第八,44,46,24,8
jingui,pdfsec_jingui_dd5a12b208,,1,胸痹心痛短氣病脈證治第九,47,51,54,18
jingui,pdfsec_jingui_2512f4325a,,1,腹滿寒疝宿食病脈證治第十,52,58,45,15
jingui,pdfsec_jingui_13fc9536f3,pdfsec_jingui_2512f4325a,2,腹滿,52,55,33,11
jingui,pdfsec_jingui_c6e3b07a80,pdfsec_jingui_2512f4325a,2,寒疝,56,57,6,2
jingui,pdfsec_jingui_2b85104615,pdfsec_jingui_2512f4325a,2,宿食,58,58,6,2
jingui,pdfsec_jingui_5fddee890c,,1,五臟風寒積聚病脈證並治第十一,59,63,28,9
jingui,pdfsec_jingui_9e5720cb81,,1,痰飲咳嗽病脈證並治第十二,64,76,129,44
jingui,pdfsec_jingui_fbd17f50cf,,1,消渴小便利淋病脈證並治第十三,77,81,39,13
jingui,pdfsec_jingui_0134be883b,pdfsec_jingui_fbd17f50cf,2,消渴小便不利,77,80,33,11
jingui,pdfsec_jingui_a1dfb03c11,pdfsec_jingui_fbd17f50cf,2,淋病,81,81,6,2
jingui,pdfsec_jingui_713ad9afcd,,1,水氣病脈證並治第十四,82,91,84,28
jingui,pdfsec_jingui_8e3471b031,,1,黃疸病脈證並治第十五,92,98,72,24
jingui,pdfsec_jingui_75133e8b75,,1,驚悸吐衄下血胸滿瘀血病脈證治第十六,99,105,39,13
jingui,pdfsec_jingui_12d79ffa5f,pdfsec_jingui_75133e8b75,2,驚悸,99,99,0,0
jingui,pdfsec_jingui_bc509de572,pdfsec_jingui_75133e8b75,2,吐衄,100,102,12,4
jingui,pdfsec_jingui_96fce899f6,pdfsec_jingui_75133e8b75,2,下血,103,104,15,5
jingui,pdfsec_jingui_44608f7e4d,pdfsec_jingui_75133e8b75,2,胸滿瘀血,105,105,12,4
jingui,pdfsec_jingui_47f36c2666,,1,嘔吐噦下利病脈證治第十七,106,120,114,38
jingui,pdfsec_jingui_261c1574e2,pdfsec_jingui_47f36c2666,2,嘔吐,106,115,84,28
jingui,pdfsec_jingui_9027868847,pdfsec_jingui_47f36c2666,2,下痢,116,120,30,10
jingui,pdfsec_jingui_3a658fc2a9,,1,瘡癰腸癰浸淫病脈證並治第十八,121,123,13,5
jingui,pdfsec_jingui_8bbfcb96ba,pdfsec_jingui_3a658fc2a9,2,瘡癰,121,121,0,0
jingui,pdfsec_jingui_8b2acab93f,pdfsec_jingui_3a658fc2a9,2,腸癰,121,121,0,0
jingui,pdfsec_jingui_41b0a1fa23,pdfsec_jingui_3a658fc2a9,2,浸淫瘡,122,122,10,4
jingui,pdfsec_jingui_b4c89cd37d,pdfsec_jingui_3a658fc2a9,2,金瘡,123,123,3,1
jingui,pdfsec_jingui_2d7e50fe35,,1,趺蹶手指臂腫轉筋陰狐疝蚘蟲病脈證治第十九,124,125,3,1
jingui,pdfsec_jingui_e1b89d0c84,,1,婦人妊娠病脈證並治第二十,126,129,39,13
